time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-04-29T14:39:23,1,3.97,34570.00,21.72,16597.00,999.00,7.38,1037.30,7.29,0.24
2025-04-29T14:39:23,1,3.99,34570.00,21.72,16597.00,999.00,7.38,1038.10,7.29,0.25
2025-04-29T14:39:23,1,3.96,34570.00,21.72,16597.00,999.00,7.39,1038.80,7.29,0.26
2025-04-29T14:39:24,1,3.98,34570.00,21.72,16597.00,999.00,7.39,1039.40,7.29,0.26
2025-04-29T14:39:24,1,3.97,34570.00,21.72,16597.00,999.00,7.39,1038.70,7.29,0.25
2025-04-29T14:39:24,1,3.97,34390.00,21.59,16508.00,999.00,7.38,1037.60,7.30,0.24
2025-04-29T14:39:24,1,3.96,34390.00,21.59,16508.00,999.00,7.38,1038.10,7.29,0.25
2025-04-29T14:39:24,1,3.97,34390.00,21.59,16508.00,999.00,7.38,1037.90,7.30,0.25
2025-04-29T14:39:25,1,3.98,34390.00,21.59,16508.00,999.00,7.39,1038.20,7.30,0.25
2025-04-29T14:39:25,1,3.95,34390.00,21.59,16508.00,999.00,7.39,1039.00,7.29,0.26
2025-04-29T14:39:25,1,3.97,34230.00,21.48,16430.00,999.00,7.39,1039.70,7.29,0.26
2025-04-29T14:39:25,1,3.97,34230.00,21.48,16430.00,999.00,7.40,1039.60,7.29,0.26
2025-04-29T14:39:25,1,3.95,34230.00,21.48,16430.00,999.00,7.40,1038.90,7.29,0.26
2025-04-29T14:39:26,1,3.97,34230.00,21.48,16430.00,999.00,7.40,1038.70,7.30,0.25
2025-04-29T14:39:26,1,3.96,34230.00,21.48,16430.00,999.00,7.40,1038.90,7.30,0.26
2025-04-29T14:39:26,1,3.98,34190.00,21.46,16416.00,999.00,7.40,1039.20,7.29,0.26
2025-04-29T14:39:26,1,3.99,34190.00,21.46,16416.00,999.00,7.40,1039.80,7.29,0.27
2025-04-29T14:39:26,1,3.97,34190.00,21.46,16416.00,999.00,7.42,1039.40,7.30,0.26
2025-04-29T14:39:27,1,3.97,34190.00,21.46,16416.00,999.00,7.40,1040.10,7.29,0.27
2025-04-29T14:39:27,1,3.98,34190.00,21.46,16416.00,999.00,7.40,1039.60,7.30,0.26
2025-04-29T14:39:27,1,3.99,34110.00,21.40,16375.00,999.00,7.40,1039.80,7.29,0.27
2025-04-29T14:39:27,1,3.98,34110.00,21.40,16375.00,999.00,7.40,1039.60,7.30,0.26
2025-04-29T14:39:27,1,3.97,34110.00,21.40,16375.00,999.00,7.42,1041.20,7.29,0.28
2025-04-29T14:39:28,1,3.95,34110.00,21.40,16375.00,999.00,7.40,1041.50,7.30,0.28
2025-04-29T14:39:28,1,3.97,34110.00,21.40,16375.00,999.00,7.41,1041.70,7.30,0.28
2025-04-29T14:39:28,1,3.98,34130.00,21.41,16382.00,999.00,7.41,1041.70,7.30,0.28
2025-04-29T14:39:28,1,3.97,34130.00,21.41,16382.00,999.00,7.41,1040.50,7.30,0.27
2025-04-29T14:39:28,1,3.95,34130.00,21.41,16382.00,999.00,7.41,1038.00,7.30,0.25
2025-04-29T14:39:29,1,3.97,34130.00,21.41,16382.00,999.00,7.42,1034.80,7.30,0.22
2025-04-29T14:39:29,1,3.97,34130.00,21.41,16382.00,999.00,7.40,1036.40,7.30,0.23
2025-04-29T14:39:29,1,3.99,34140.00,21.42,16388.00,999.00,7.41,1046.70,7.30,0.33
2025-04-29T14:39:29,1,3.97,34140.00,21.42,16388.00,999.00,7.42,1051.40,7.30,0.38
2025-04-29T14:39:29,1,3.96,34140.00,21.42,16388.00,999.00,7.41,1049.50,7.30,0.36
2025-04-29T14:39:30,1,3.95,34140.00,21.42,16388.00,999.00,7.42,1051.80,7.30,0.38
2025-04-29T14:39:30,1,3.95,34140.00,21.42,16388.00,999.00,7.40,1053.20,7.30,0.40
2025-04-29T14:39:30,1,3.98,34210.00,21.47,16423.00,999.00,7.42,1053.50,7.30,0.40
2025-04-29T14:39:30,1,3.96,34210.00,21.47,16423.00,999.00,7.42,1055.70,7.30,0.42
2025-04-29T14:39:30,1,3.99,34210.00,21.47,16423.00,999.00,7.41,1060.10,7.30,0.47
2025-04-29T14:39:31,1,3.97,34210.00,21.47,16423.00,999.00,7.41,1058.80,7.30,0.45
2025-04-29T14:39:31,1,3.98,34210.00,21.47,16423.00,999.00,7.41,1058.90,7.31,0.45
2025-04-29T14:39:31,1,3.97,34270.00,21.51,16452.00,999.00,7.42,1059.30,7.30,0.46
2025-04-29T14:39:31,1,3.98,34270.00,21.51,16452.00,999.00,7.41,1058.00,7.31,0.45
2025-04-29T14:39:31,1,3.99,34270.00,21.51,16452.00,999.00,7.40,1059.00,7.31,0.46
2025-04-29T14:39:32,1,3.98,34270.00,21.51,16452.00,999.00,7.41,1058.50,7.31,0.45
2025-04-29T14:39:32,1,3.96,34270.00,21.51,16452.00,999.00,7.41,1057.20,7.31,0.44
2025-04-29T14:39:32,1,3.99,34260.00,21.50,16447.00,999.00,7.41,1056.80,7.31,0.43
2025-04-29T14:39:32,1,3.99,34260.00,21.50,16447.00,999.00,7.42,1055.50,7.31,0.42
2025-04-29T14:39:32,1,3.96,34260.00,21.50,16447.00,999.00,7.41,1054.50,7.31,0.41
2025-04-29T14:39:33,1,3.97,34260.00,21.50,16447.00,999.00,7.41,1059.20,7.28,0.46
2025-04-29T14:39:33,1,3.99,34320.00,21.55,16477.00,999.00,7.41,1059.20,7.30,0.46
2025-04-29T14:39:33,1,3.97,34320.00,21.55,16477.00,999.00,7.41,1059.30,7.30,0.46
2025-04-29T14:39:33,1,3.99,34320.00,21.55,16477.00,999.00,7.41,1059.10,7.30,0.46
2025-04-29T14:39:34,1,3.97,34320.00,21.55,16477.00,999.00,7.41,1058.70,7.30,0.45
2025-04-29T14:39:34,1,3.95,34320.00,21.55,16477.00,999.00,7.40,1062.70,7.31,0.49
2025-04-29T14:39:34,1,3.95,34420.00,21.61,16523.00,999.00,7.40,1067.10,7.31,0.54
2025-04-29T14:39:34,1,3.98,34420.00,21.61,16523.00,999.00,7.40,1069.10,7.31,0.56
2025-04-29T14:39:34,1,3.96,34420.00,21.61,16523.00,999.00,7.40,1069.70,7.31,0.56
2025-04-29T14:39:35,1,3.97,34420.00,21.61,16523.00,999.00,7.40,1070.30,7.31,0.57
2025-04-29T14:39:35,1,3.97,34420.00,21.61,16523.00,999.00,7.40,1070.30,7.31,0.57
2025-04-29T14:39:35,1,3.95,34500.00,21.67,16562.00,999.00,7.39,1070.20,7.31,0.57
2025-04-29T14:39:35,1,3.98,34500.00,21.67,16562.00,999.00,7.38,1069.30,7.31,0.56
2025-04-29T14:39:35,1,3.99,34500.00,21.67,16562.00,999.00,7.40,1069.30,7.31,0.56
2025-04-29T14:39:36,1,3.95,34500.00,21.67,16562.00,999.00,7.40,1068.70,7.31,0.55
2025-04-29T14:39:36,1,3.97,34500.00,21.67,16562.00,999.00,7.38,1068.90,7.31,0.55
2025-04-29T14:39:36,1,3.96,34500.00,21.67,16562.00,999.00,7.38,1066.40,7.31,0.53
2025-04-29T14:39:36,1,3.97,34500.00,21.67,16562.00,999.00,7.39,1061.80,7.31,0.48
2025-04-29T14:39:36,1,3.96,34500.00,21.67,16562.00,999.00,7.39,1060.70,7.31,0.47
2025-04-29T14:39:37,1,3.97,34500.00,21.67,16562.00,999.00,7.40,1062.60,7.31,0.49
2025-04-29T14:39:37,1,3.95,34500.00,21.67,16562.00,999.00,7.39,1065.00,7.31,0.52
2025-04-29T14:39:37,1,3.98,34500.00,21.67,16562.00,999.00,7.39,1069.40,7.31,0.56
2025-04-29T14:39:37,1,3.98,34500.00,21.67,16562.00,999.00,7.39,1075.90,7.31,0.62
2025-04-29T14:39:37,1,3.97,34500.00,21.67,16562.00,999.00,7.39,1082.90,7.31,0.69
2025-04-29T14:39:38,1,3.97,34500.00,21.67,16562.00,999.00,7.39,1090.30,7.31,0.77
