time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-04-29T14:48:14,1,3.97,36910.00,23.35,17720.00,999.00,6.09,5428.80,6.26,43.76
2025-04-29T14:48:15,1,3.97,36910.00,23.35,17720.00,999.00,6.09,5428.00,6.27,43.75
2025-04-29T14:48:15,1,3.97,36910.00,23.35,17720.00,999.00,6.09,5423.40,6.26,43.71
2025-04-29T14:48:15,1,3.95,36910.00,23.35,17720.00,999.00,6.10,5414.00,6.26,43.61
2025-04-29T14:48:15,1,3.94,36910.00,23.35,17720.00,999.00,6.11,5400.00,6.27,43.47
2025-04-29T14:48:15,1,3.98,36910.00,23.35,17720.00,999.00,6.09,5389.30,6.26,43.37
2025-04-29T14:48:16,1,3.94,36910.00,23.35,17720.00,999.00,6.09,5382.60,6.26,43.30
2025-04-29T14:48:16,1,3.99,36910.00,23.35,17720.00,999.00,6.10,5374.90,6.26,43.23
2025-04-29T14:48:16,1,3.95,36910.00,23.35,17720.00,999.00,6.09,5359.00,6.26,43.07
2025-04-29T14:48:16,1,3.96,36910.00,23.35,17720.00,999.00,6.09,5337.50,6.26,42.85
2025-04-29T14:48:16,1,3.97,36880.00,23.33,17706.00,999.00,6.09,5315.70,6.26,42.64
2025-04-29T14:48:17,1,3.95,36880.00,23.33,17706.00,999.00,6.08,5300.50,6.26,42.49
2025-04-29T14:48:17,1,3.97,36880.00,23.33,17706.00,999.00,6.09,5291.00,6.26,42.39
2025-04-29T14:48:17,1,3.95,36880.00,23.33,17706.00,999.00,6.08,5281.80,6.26,42.30
2025-04-29T14:48:17,1,3.96,36880.00,23.33,17706.00,999.00,6.09,5270.20,6.26,42.19
2025-04-29T14:48:17,1,3.96,36870.00,23.32,17699.00,999.00,6.09,5257.90,6.26,42.07
2025-04-29T14:48:18,1,3.96,36870.00,23.32,17699.00,999.00,6.08,5247.30,6.26,41.96
2025-04-29T14:48:18,1,3.97,36870.00,23.32,17699.00,999.00,6.09,5235.60,6.26,41.85
