time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-05-28T12:32:48,1,3.91,18300.00,10.82,8788.00,999.00,9.97,1013.30,9.78,0.00
2025-05-28T12:32:49,1,3.90,18300.00,10.82,8788.00,999.00,9.98,1015.20,9.79,0.02
2025-05-28T12:32:49,1,3.92,18300.00,10.82,8788.00,999.00,9.98,1016.00,9.79,0.03
2025-05-28T12:32:49,1,3.90,18300.00,10.82,8788.00,999.00,9.99,1017.00,9.79,0.04
2025-05-28T12:32:49,1,3.88,18300.00,10.82,8788.00,999.00,9.99,1016.50,9.79,0.03
2025-05-28T12:32:49,1,3.90,18470.00,10.93,8870.00,999.00,9.99,1015.00,9.79,0.02
2025-05-28T12:32:50,1,3.92,18470.00,10.93,8870.00,999.00,9.99,1015.40,9.79,0.02
2025-05-28T12:32:50,1,3.92,18470.00,10.93,8870.00,999.00,10.00,1016.80,9.79,0.04
2025-05-28T12:32:50,1,3.92,18470.00,10.93,8870.00,999.00,9.99,1017.00,9.80,0.04
2025-05-28T12:32:50,1,3.91,18470.00,10.93,8870.00,999.00,9.99,1018.60,9.80,0.06
2025-05-28T12:32:50,1,3.92,18510.00,10.96,8888.00,999.00,9.99,1018.00,9.80,0.05
2025-05-28T12:32:51,1,3.92,18510.00,10.96,8888.00,999.00,10.01,1017.90,9.80,0.05
2025-05-28T12:32:51,1,3.92,18510.00,10.96,8888.00,999.00,10.01,1017.90,9.80,0.05
2025-05-28T12:32:51,1,3.92,18510.00,10.96,8888.00,999.00,10.02,1018.10,9.80,0.05
2025-05-28T12:32:51,1,3.88,18510.00,10.96,8888.00,999.00,10.02,1018.40,9.81,0.05
2025-05-28T12:32:51,1,3.91,18570.00,11.00,8917.00,999.00,10.03,1018.00,9.80,0.05
2025-05-28T12:32:52,1,3.90,18570.00,11.00,8917.00,999.00,10.03,1018.80,9.80,0.06
2025-05-28T12:32:52,1,3.92,18570.00,11.00,8917.00,999.00,10.04,1017.70,9.81,0.05
2025-05-28T12:32:52,1,3.89,18570.00,11.00,8917.00,999.00,10.04,1016.60,9.81,0.04
2025-05-28T12:32:52,1,3.92,18570.00,11.00,8917.00,999.00,10.04,1017.30,9.81,0.04
2025-05-28T12:32:52,1,3.92,18570.00,11.00,8917.00,999.00,10.04,1019.00,9.81,0.06
2025-05-28T12:32:53,1,3.90,18570.00,11.00,8917.00,999.00,10.04,1020.40,9.81,0.07
2025-05-28T12:32:53,1,3.92,18570.00,11.00,8917.00,999.00,10.04,1020.50,9.82,0.07
2025-05-28T12:32:53,1,3.89,18570.00,11.00,8917.00,999.00,10.05,1020.50,9.82,0.07
2025-05-28T12:32:53,1,3.87,18570.00,11.00,8917.00,999.00,10.04,1019.40,9.82,0.06
2025-05-28T12:32:53,1,3.92,18650.00,11.05,8956.00,999.00,10.04,1020.10,9.82,0.07
2025-05-28T12:32:54,1,3.92,18650.00,11.05,8956.00,999.00,10.06,1020.20,9.82,0.07
2025-05-28T12:32:54,1,3.92,18650.00,11.05,8956.00,999.00,10.06,1021.70,9.83,0.09
2025-05-28T12:32:54,1,3.88,18650.00,11.05,8956.00,999.00,10.05,1022.30,9.83,0.09
2025-05-28T12:32:54,1,3.88,18650.00,11.05,8956.00,999.00,10.05,1021.10,9.83,0.08
2025-05-28T12:32:54,1,3.90,18790.00,11.14,9024.00,999.00,10.06,1019.30,9.83,0.06
2025-05-28T12:32:55,1,3.92,18790.00,11.14,9024.00,999.00,10.07,1018.50,9.83,0.05
2025-05-28T12:32:55,1,3.92,18790.00,11.14,9024.00,999.00,10.06,1018.50,9.83,0.05
2025-05-28T12:32:55,1,3.90,18790.00,11.14,9024.00,999.00,10.06,1020.30,9.83,0.07
2025-05-28T12:32:55,1,3.90,18790.00,11.14,9024.00,999.00,10.07,1022.30,9.85,0.09
2025-05-28T12:32:55,1,3.90,18630.00,11.03,8943.00,999.00,10.06,1023.40,9.85,0.10
2025-05-28T12:32:56,1,3.90,18630.00,11.03,8943.00,999.00,10.06,1023.20,9.85,0.10
2025-05-28T12:32:56,1,3.92,18630.00,11.03,8943.00,999.00,10.07,1023.40,9.85,0.10
2025-05-28T12:32:56,1,3.91,18630.00,11.03,8943.00,999.00,10.07,1022.20,9.85,0.09
2025-05-28T12:32:56,1,3.89,18630.00,11.03,8943.00,999.00,10.06,1021.70,9.86,0.09
2025-05-28T12:32:56,1,3.93,18870.00,11.19,9059.00,999.00,10.07,1022.70,9.86,0.10
2025-05-28T12:32:57,1,3.92,18870.00,11.19,9059.00,999.00,10.07,1023.00,9.86,0.10
2025-05-28T12:32:57,1,3.92,18870.00,11.19,9059.00,999.00,10.07,1023.80,9.86,0.11
2025-05-28T12:32:57,1,3.90,18870.00,11.19,9059.00,999.00,10.07,1023.80,9.86,0.11
2025-05-28T12:32:57,1,3.89,18990.00,11.27,9119.00,999.00,10.08,1022.00,9.87,0.09
2025-05-28T12:32:57,1,3.89,18990.00,11.27,9119.00,999.00,10.07,1020.90,9.86,0.08
2025-05-28T12:32:58,1,3.91,18990.00,11.27,9119.00,999.00,10.08,1021.40,9.86,0.08
2025-05-28T12:32:58,1,3.90,18990.00,11.27,9119.00,999.00,10.08,1022.50,9.87,0.09
2025-05-28T12:32:58,1,3.92,18990.00,11.27,9119.00,999.00,10.08,1023.80,9.87,0.11
2025-05-28T12:32:58,1,3.91,18930.00,11.23,9090.00,999.00,10.07,1025.50,9.87,0.12
2025-05-28T12:32:58,1,3.90,18930.00,11.23,9090.00,999.00,10.08,1026.00,9.87,0.13
2025-05-28T12:32:59,1,3.90,18930.00,11.23,9090.00,999.00,10.09,1026.10,9.87,0.13
2025-05-28T12:32:59,1,3.91,18930.00,11.23,9090.00,999.00,10.08,1024.60,9.88,0.11
2025-05-28T12:32:59,1,3.89,18930.00,11.23,9090.00,999.00,10.10,1024.60,9.88,0.11
2025-05-28T12:32:59,1,3.86,19220.00,11.42,9230.00,999.00,10.11,1023.80,9.88,0.11
2025-05-28T12:32:59,1,3.91,19220.00,11.42,9230.00,999.00,10.08,1026.30,9.88,0.13
2025-05-28T12:33:00,1,3.92,19220.00,11.42,9230.00,999.00,10.10,1025.70,9.88,0.13
2025-05-28T12:33:00,1,3.91,19220.00,11.42,9230.00,999.00,10.11,1026.00,9.89,0.13
