time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-06-29T22:01:52,1,3.84,999.00,999.00,999.00,999.00,19.28,1028.50,19.12,0.15
2025-06-29T22:01:55,1,3.90,999.00,999.00,999.00,999.00,19.27,1028.60,19.15,0.15
2025-06-29T22:01:55,1,3.90,0.00,0.00,0.00,999.00,19.28,1028.50,19.16,0.15
2025-06-29T22:01:55,1,3.89,0.00,0.00,0.00,999.00,19.27,1028.50,19.16,0.15
2025-06-29T22:01:55,1,3.88,0.00,0.00,0.00,999.00,19.27,1028.60,19.17,0.15
2025-06-29T22:01:55,1,3.90,0.00,0.00,0.00,999.00,19.26,1028.50,19.17,0.15
2025-06-29T22:01:56,1,3.87,0.00,0.00,0.00,999.00,19.26,1028.70,19.17,0.16
2025-06-29T22:01:56,1,3.90,0.00,0.00,0.00,999.00,19.26,1028.90,19.17,0.16
2025-06-29T22:01:56,1,3.88,0.00,0.00,0.00,999.00,19.26,1028.30,19.17,0.15
2025-06-29T22:01:56,1,3.90,0.00,0.00,0.00,999.00,19.25,1028.20,19.18,0.15
2025-06-29T22:01:56,1,3.88,0.00,0.00,0.00,999.00,19.23,1028.80,19.18,0.16
2025-06-29T22:01:57,1,3.91,0.00,0.00,0.00,999.00,19.23,1029.00,19.18,0.16
2025-06-29T22:01:57,1,3.90,0.00,0.00,0.00,999.00,19.22,1028.30,19.18,0.15
2025-06-29T22:01:57,1,3.89,0.00,0.00,0.00,999.00,19.22,1028.40,19.18,0.15
2025-06-29T22:01:57,1,3.88,0.00,0.00,0.00,999.00,19.22,1028.80,19.18,0.16
2025-06-29T22:01:57,1,3.90,0.00,0.00,0.00,999.00,19.21,1028.80,19.17,0.16
2025-06-29T22:01:58,1,3.90,0.00,0.00,0.00,999.00,19.20,1029.00,19.17,0.16
2025-06-29T22:01:58,1,3.91,0.00,0.00,0.00,999.00,19.20,1028.90,19.18,0.16
2025-06-29T22:01:58,1,3.86,0.00,0.00,0.00,999.00,18.94,1029.70,19.18,0.17
2025-06-29T22:01:58,1,3.88,0.00,0.00,0.00,999.00,17.89,1030.50,19.18,0.17
2025-06-29T22:01:58,1,3.90,23640.00,14.31,11352.00,999.00,16.83,1030.60,19.18,0.17
2025-06-29T22:01:59,1,3.91,23640.00,14.31,11352.00,999.00,15.98,1030.70,19.17,0.18
2025-06-29T22:01:59,1,3.88,23640.00,14.31,11352.00,999.00,15.37,1030.40,19.16,0.17
2025-06-29T22:01:59,1,3.87,23640.00,14.31,11352.00,999.00,14.89,1030.40,19.13,0.17
2025-06-29T22:01:59,1,3.89,23640.00,14.31,11352.00,999.00,14.50,1030.40,19.10,0.17
2025-06-29T22:01:59,1,3.90,40720.00,26.04,19550.00,999.00,14.15,1030.90,19.06,0.18
2025-06-29T22:02:00,1,3.89,40720.00,26.04,19550.00,999.00,13.83,1030.70,19.01,0.18
2025-06-29T22:02:00,1,3.90,40720.00,26.04,19550.00,999.00,13.53,1030.70,18.95,0.18
2025-06-29T22:02:00,1,3.89,40720.00,26.04,19550.00,999.00,13.27,1030.90,18.89,0.18
2025-06-29T22:02:00,1,3.89,40720.00,26.04,19550.00,999.00,12.99,1030.80,18.83,0.18
2025-06-29T22:02:00,1,3.88,41230.00,26.40,19794.00,999.00,12.76,1030.50,18.76,0.17
2025-06-29T22:02:01,1,3.91,41230.00,26.40,19794.00,999.00,12.56,1031.10,18.69,0.18
2025-06-29T22:02:01,1,3.90,41230.00,26.40,19794.00,999.00,12.38,1030.70,18.62,0.18
2025-06-29T22:02:01,1,3.86,41230.00,26.40,19794.00,999.00,12.16,1030.00,18.56,0.17
2025-06-29T22:02:01,1,3.88,41230.00,26.40,19794.00,999.00,11.88,1030.60,18.49,0.17
2025-06-29T22:02:01,1,3.91,37430.00,23.72,17971.00,999.00,11.61,1030.20,18.42,0.17
2025-06-29T22:02:02,1,3.88,37430.00,23.72,17971.00,999.00,11.38,1029.60,18.34,0.16
2025-06-29T22:02:02,1,3.86,37430.00,23.72,17971.00,999.00,11.19,1029.50,18.25,0.16
2025-06-29T22:02:02,1,3.86,37430.00,23.72,17971.00,999.00,11.02,1029.60,18.16,0.16
2025-06-29T22:02:02,1,3.86,37430.00,23.72,17971.00,999.00,10.87,1029.90,18.07,0.17
2025-06-29T22:02:02,1,3.92,39800.00,25.38,19105.00,999.00,10.74,1030.10,17.96,0.17
2025-06-29T22:02:03,1,3.90,39800.00,25.38,19105.00,999.00,10.64,1030.20,17.85,0.17
2025-06-29T22:02:03,1,3.90,39800.00,25.38,19105.00,999.00,10.56,1030.10,17.73,0.17
2025-06-29T22:02:03,1,3.87,39800.00,25.38,19105.00,999.00,10.48,1030.80,17.60,0.18
2025-06-29T22:02:03,1,3.86,39800.00,25.38,19105.00,999.00,10.42,1030.20,17.48,0.17
2025-06-29T22:02:03,1,3.90,39960.00,25.50,19185.00,999.00,10.35,1030.20,17.36,0.17
2025-06-29T22:02:04,1,3.88,39960.00,25.50,19185.00,999.00,10.31,1030.50,17.24,0.17
2025-06-29T22:02:04,1,3.90,39960.00,25.50,19185.00,999.00,10.27,1030.90,17.12,0.18
2025-06-29T22:02:04,1,3.86,39960.00,25.50,19185.00,999.00,10.23,1030.30,16.99,0.17
