time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-06-29T22:42:16,1,3.86,7573.00,4.18,3635.00,999.00,11.08,1036.20,9.99,0.23
2025-06-29T22:42:16,1,3.86,7573.00,4.18,3635.00,999.00,11.04,1038.70,9.99,0.25
2025-06-29T22:42:16,1,3.86,7573.00,4.18,3635.00,999.00,11.03,1039.70,10.01,0.26
2025-06-29T22:42:16,1,3.85,7573.00,4.18,3635.00,999.00,10.97,1040.60,10.02,0.27
2025-06-29T22:42:17,1,3.83,7573.00,4.18,3635.00,999.00,10.96,1041.80,10.03,0.29
2025-06-29T22:42:17,1,3.88,7466.00,4.11,3584.00,999.00,10.94,1042.10,10.04,0.29
2025-06-29T22:42:17,1,3.85,7466.00,4.11,3584.00,999.00,10.91,1042.90,10.04,0.30
2025-06-29T22:42:17,1,3.85,7466.00,4.11,3584.00,999.00,10.89,1044.90,10.05,0.32
2025-06-29T22:42:18,1,3.85,7466.00,4.11,3584.00,999.00,10.88,1047.00,10.04,0.34
2025-06-29T22:42:18,1,3.86,7415.00,4.08,3560.00,999.00,10.87,1048.20,10.06,0.35
2025-06-29T22:42:18,1,3.88,7415.00,4.08,3560.00,999.00,10.85,1048.00,10.08,0.35
2025-06-29T22:42:18,1,3.90,7415.00,4.08,3560.00,999.00,10.84,1048.70,10.09,0.35
2025-06-29T22:42:18,1,3.86,7415.00,4.08,3560.00,999.00,10.81,1048.90,10.10,0.36
2025-06-29T22:42:19,1,3.87,7415.00,4.08,3560.00,999.00,10.82,1048.90,10.10,0.36
2025-06-29T22:42:19,1,3.87,7374.00,4.06,3540.00,999.00,10.83,1049.80,10.11,0.36
2025-06-29T22:42:19,1,3.87,7374.00,4.06,3540.00,999.00,10.81,1049.90,10.12,0.37
2025-06-29T22:42:19,1,3.85,7374.00,4.06,3540.00,999.00,10.80,1049.30,10.12,0.36
2025-06-29T22:42:19,1,3.86,7374.00,4.06,3540.00,999.00,10.80,1049.10,10.13,0.36
2025-06-29T22:42:20,1,3.86,7374.00,4.06,3540.00,999.00,10.80,1048.50,10.14,0.35
2025-06-29T22:42:20,1,3.88,7260.00,3.99,3485.00,999.00,10.78,1047.30,10.15,0.34
2025-06-29T22:42:20,1,3.86,7260.00,3.99,3485.00,999.00,10.78,1047.30,10.16,0.34
2025-06-29T22:42:20,1,3.88,7260.00,3.99,3485.00,999.00,10.78,1046.60,10.17,0.33
2025-06-29T22:42:20,1,3.87,7260.00,3.99,3485.00,999.00,10.78,1045.40,10.17,0.32
2025-06-29T22:42:21,1,3.87,7260.00,3.99,3485.00,999.00,10.77,1046.40,10.18,0.33
2025-06-29T22:42:21,1,3.88,7409.00,4.08,3556.00,999.00,10.78,1049.60,10.19,0.36
2025-06-29T22:42:21,1,3.86,7409.00,4.08,3556.00,999.00,10.77,1048.70,10.19,0.35
2025-06-29T22:42:21,1,3.87,7409.00,4.08,3556.00,999.00,10.76,1049.30,10.20,0.36
2025-06-29T22:42:21,1,3.85,7409.00,4.08,3556.00,999.00,10.79,1049.80,10.20,0.36
2025-06-29T22:42:22,1,3.86,7409.00,4.08,3556.00,999.00,10.76,1049.50,10.21,0.36
2025-06-29T22:42:22,1,3.86,7480.00,4.12,3590.00,999.00,10.78,1050.90,10.22,0.38
2025-06-29T22:42:22,1,3.88,7480.00,4.12,3590.00,999.00,10.76,1051.90,10.22,0.39
2025-06-29T22:42:22,1,3.88,7480.00,4.12,3590.00,999.00,10.77,1053.30,10.22,0.40
2025-06-29T22:42:22,1,3.87,7480.00,4.12,3590.00,999.00,10.77,1053.00,10.23,0.40
2025-06-29T22:42:23,1,3.87,7480.00,4.12,3590.00,999.00,10.76,1053.40,10.23,0.40
2025-06-29T22:42:23,1,3.88,7383.00,4.06,3544.00,999.00,10.76,1052.50,10.24,0.39
2025-06-29T22:42:23,1,3.87,7383.00,4.06,3544.00,999.00,10.77,1053.10,10.24,0.40
2025-06-29T22:42:23,1,3.88,7383.00,4.06,3544.00,999.00,10.76,1053.20,10.25,0.40
2025-06-29T22:42:23,1,3.85,7383.00,4.06,3544.00,999.00,10.76,1053.40,10.25,0.40
2025-06-29T22:42:24,1,3.84,7383.00,4.06,3544.00,999.00,10.76,1054.30,10.26,0.41
2025-06-29T22:42:24,1,3.88,6907.00,3.78,3315.00,999.00,10.77,1054.80,10.26,0.41
2025-06-29T22:42:24,1,3.85,6907.00,3.78,3315.00,999.00,10.77,1055.50,10.26,0.42
2025-06-29T22:42:24,1,3.88,6907.00,3.78,3315.00,999.00,10.76,1055.10,10.26,0.42
2025-06-29T22:42:24,1,3.86,6907.00,3.78,3315.00,999.00,10.76,1054.50,10.27,0.41
2025-06-29T22:42:24,1,3.86,6907.00,3.78,3315.00,999.00,10.76,1054.50,10.27,0.41
2025-06-29T22:42:25,1,3.88,6835.00,3.74,3281.00,999.00,10.76,1054.70,10.27,0.41
2025-06-29T22:42:25,1,3.88,6835.00,3.74,3281.00,999.00,10.77,1054.20,10.28,0.41
2025-06-29T22:42:25,1,3.88,6835.00,3.74,3281.00,999.00,10.76,1054.40,10.29,0.41
2025-06-29T22:42:25,1,3.87,6835.00,3.74,3281.00,999.00,10.76,1054.80,10.29,0.41
2025-06-29T22:42:25,1,3.86,6835.00,3.74,3281.00,999.00,10.76,1055.50,10.29,0.42
2025-06-29T22:42:26,1,3.88,6848.00,3.75,3287.00,999.00,10.76,1055.80,10.29,0.42
2025-06-29T22:42:26,1,3.88,6848.00,3.75,3287.00,999.00,10.76,1056.70,10.30,0.43
2025-06-29T22:42:26,1,3.88,6848.00,3.75,3287.00,999.00,10.76,1057.30,10.30,0.44
2025-06-29T22:42:26,1,3.86,6848.00,3.75,3287.00,999.00,10.77,1057.70,10.30,0.44
2025-06-29T22:42:26,1,3.86,6848.00,3.75,3287.00,999.00,10.76,1058.30,10.31,0.45
2025-06-29T22:42:27,1,3.88,6781.00,3.71,3255.00,999.00,10.76,1059.10,10.31,0.46
2025-06-29T22:42:27,1,3.87,6781.00,3.71,3255.00,999.00,10.76,1059.40,10.32,0.46
2025-06-29T22:42:27,1,3.88,6781.00,3.71,3255.00,999.00,10.76,1060.60,10.32,0.47
2025-06-29T22:42:27,1,3.86,6781.00,3.71,3255.00,999.00,10.74,1060.90,10.33,0.47
2025-06-29T22:42:27,1,3.86,6781.00,3.71,3255.00,999.00,10.76,1061.60,10.33,0.48
2025-06-29T22:42:28,1,3.88,7302.00,4.02,3505.00,999.00,10.76,1061.80,10.33,0.48
2025-06-29T22:42:28,1,3.86,7302.00,4.02,3505.00,999.00,10.74,1063.20,10.33,0.50
2025-06-29T22:42:28,1,3.86,7302.00,4.02,3505.00,999.00,10.74,1063.80,10.34,0.50
2025-06-29T22:42:28,1,3.86,7302.00,4.02,3505.00,999.00,10.75,1064.70,10.34,0.51
2025-06-29T22:42:28,1,3.87,7302.00,4.02,3505.00,999.00,10.76,1065.00,10.34,0.52
2025-06-29T22:42:29,1,3.86,7424.00,4.09,3564.00,999.00,10.76,1066.00,10.35,0.53
2025-06-29T22:42:29,1,3.88,7424.00,4.09,3564.00,999.00,10.76,1066.70,10.35,0.53
2025-06-29T22:42:29,1,3.87,7424.00,4.09,3564.00,999.00,10.77,1067.10,10.35,0.54
2025-06-29T22:42:29,1,3.87,7424.00,4.09,3564.00,999.00,10.75,1067.30,10.35,0.54
2025-06-29T22:42:29,1,3.88,7424.00,4.09,3564.00,999.00,10.74,1068.40,10.35,0.55
2025-06-29T22:42:30,1,3.86,7529.00,4.15,3614.00,999.00,10.76,1069.60,10.36,0.56
2025-06-29T22:42:30,1,3.88,7529.00,4.15,3614.00,999.00,10.76,1070.10,10.36,0.57
2025-06-29T22:42:30,1,3.88,7529.00,4.15,3614.00,999.00,10.76,1070.90,10.36,0.57
2025-06-29T22:42:30,1,3.82,7529.00,4.15,3614.00,999.00,10.74,1071.30,10.36,0.58
2025-06-29T22:42:30,1,3.86,7529.00,4.15,3614.00,999.00,10.75,1072.30,10.36,0.59
2025-06-29T22:42:31,1,3.86,7518.00,4.14,3609.00,999.00,10.75,1073.10,10.36,0.60
2025-06-29T22:42:31,1,3.90,7518.00,4.14,3609.00,999.00,10.74,1073.70,10.37,0.60
2025-06-29T22:42:31,1,3.87,7518.00,4.14,3609.00,999.00,10.74,1073.40,10.37,0.60
2025-06-29T22:42:31,1,3.86,7518.00,4.14,3609.00,999.00,10.75,1073.70,10.37,0.60
2025-06-29T22:42:31,1,3.86,7518.00,4.14,3609.00,999.00,10.76,1074.20,10.37,0.61
2025-06-29T22:42:32,1,3.86,7443.00,4.10,3573.00,999.00,10.75,1075.60,10.37,0.62
2025-06-29T22:42:32,1,3.86,7443.00,4.10,3573.00,999.00,10.75,1075.50,10.37,0.62
2025-06-29T22:42:32,1,3.85,7443.00,4.10,3573.00,999.00,10.74,1076.30,10.37,0.63
2025-06-29T22:42:32,1,3.85,7443.00,4.10,3573.00,999.00,10.76,1076.80,10.38,0.63
2025-06-29T22:42:32,1,3.86,7443.00,4.10,3573.00,999.00,10.74,1077.40,10.38,0.64
2025-06-29T22:42:33,1,3.87,7394.00,4.07,3549.00,999.00,10.75,1078.10,10.38,0.65
2025-06-29T22:42:33,1,3.87,7394.00,4.07,3549.00,999.00,10.75,1078.50,10.38,0.65
2025-06-29T22:42:33,1,3.85,7394.00,4.07,3549.00,999.00,10.75,1079.10,10.38,0.66
2025-06-29T22:42:33,1,3.85,7394.00,4.07,3549.00,999.00,10.73,1079.70,10.38,0.66
2025-06-29T22:42:33,1,3.87,7394.00,4.07,3549.00,999.00,10.77,1080.40,10.38,0.67
2025-06-29T22:42:34,1,3.85,7534.00,4.15,3616.00,999.00,10.76,1080.80,10.39,0.67
2025-06-29T22:42:34,1,3.86,7534.00,4.15,3616.00,999.00,10.77,1081.70,10.39,0.68
2025-06-29T22:42:34,1,3.86,7534.00,4.15,3616.00,999.00,10.77,1079.90,10.39,0.66
2025-06-29T22:42:34,1,3.86,7534.00,4.15,3616.00,999.00,10.76,1078.90,10.39,0.65
2025-06-29T22:42:34,1,3.85,7534.00,4.15,3616.00,999.00,10.77,1079.00,10.39,0.65
2025-06-29T22:42:35,1,3.86,7548.00,4.16,3623.00,999.00,10.77,1079.40,10.40,0.66
2025-06-29T22:42:35,1,3.86,7548.00,4.16,3623.00,999.00,10.77,1079.10,10.40,0.66
2025-06-29T22:42:35,1,3.85,7548.00,4.16,3623.00,999.00,10.76,1078.80,10.40,0.65
2025-06-29T22:42:35,1,3.86,7548.00,4.16,3623.00,999.00,10.77,1078.80,10.40,0.65
2025-06-29T22:42:35,1,3.86,7548.00,4.16,3623.00,999.00,10.76,1079.10,10.40,0.66
2025-06-29T22:42:36,1,3.85,7733.00,4.27,3712.00,999.00,10.77,1079.40,10.40,0.66
2025-06-29T22:42:36,1,3.86,7733.00,4.27,3712.00,999.00,10.77,1079.70,10.40,0.66
2025-06-29T22:42:36,1,3.87,7733.00,4.27,3712.00,999.00,10.76,1079.70,10.40,0.66
2025-06-29T22:42:36,1,3.86,7733.00,4.27,3712.00,999.00,10.77,1079.20,10.41,0.66
2025-06-29T22:42:36,1,3.86,7733.00,4.27,3712.00,999.00,10.77,1080.60,10.41,0.67
