time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-07-10T14:24:17,1,3.85,11620.00,6.62,5578.00,999.00,9.86,1032.50,10.10,0.19
2025-07-10T14:24:17,1,3.86,11620.00,6.62,5578.00,999.00,9.86,1031.90,10.10,0.19
2025-07-10T14:24:17,1,3.85,11620.00,6.62,5578.00,999.00,9.85,1032.20,10.09,0.19
2025-07-10T14:24:17,1,3.84,11620.00,6.62,5578.00,999.00,9.85,1032.60,10.09,0.19
2025-07-10T14:24:18,1,3.81,11680.00,6.65,5607.00,999.00,9.86,1033.30,10.09,0.20
2025-07-10T14:24:18,1,3.84,11680.00,6.65,5607.00,999.00,9.85,1033.80,10.08,0.21
2025-07-10T14:24:18,1,3.85,11680.00,6.65,5607.00,999.00,9.86,1033.80,10.08,0.21
2025-07-10T14:24:18,1,3.83,11680.00,6.65,5607.00,999.00,9.86,1034.80,10.08,0.22
2025-07-10T14:24:18,1,3.85,11680.00,6.65,5607.00,999.00,9.86,1035.60,10.07,0.22
2025-07-10T14:24:18,1,3.84,11720.00,6.68,5628.00,999.00,9.87,1035.50,10.06,0.22
2025-07-10T14:24:19,1,3.83,11720.00,6.68,5628.00,999.00,9.85,1035.70,10.06,0.22
2025-07-10T14:24:19,1,3.83,11720.00,6.68,5628.00,999.00,9.87,1037.40,10.06,0.24
2025-07-10T14:24:19,1,3.83,11720.00,6.68,5628.00,999.00,9.86,1038.50,10.05,0.25
2025-07-10T14:24:19,1,3.83,11720.00,6.68,5628.00,999.00,9.86,1041.10,10.05,0.28
2025-07-10T14:24:19,1,3.84,11750.00,6.70,5642.00,999.00,9.86,1044.90,10.05,0.32
2025-07-10T14:24:20,1,3.83,11750.00,6.70,5642.00,999.00,9.87,1049.50,10.04,0.36
2025-07-10T14:24:20,1,3.85,11750.00,6.70,5642.00,999.00,9.87,1053.10,10.04,0.40
2025-07-10T14:24:20,1,3.85,11750.00,6.70,5642.00,999.00,9.87,1055.60,10.03,0.42
2025-07-10T14:24:20,1,3.85,11750.00,6.70,5642.00,999.00,9.88,1058.20,10.03,0.45
2025-07-10T14:24:20,1,3.83,11750.00,6.70,5642.00,999.00,9.90,1060.10,10.03,0.47
2025-07-10T14:24:21,1,3.86,12380.00,7.09,5944.00,999.00,9.91,1062.10,10.02,0.49
2025-07-10T14:24:21,1,3.83,12380.00,7.09,5944.00,999.00,9.90,1063.90,10.02,0.50
2025-07-10T14:24:21,1,3.85,12380.00,7.09,5944.00,999.00,9.91,1066.00,10.02,0.53
2025-07-10T14:24:21,1,3.82,12380.00,7.09,5944.00,999.00,9.91,1069.00,10.01,0.55
2025-07-10T14:24:21,1,3.83,12380.00,7.09,5944.00,999.00,9.93,1072.90,10.01,0.59
2025-07-10T14:24:22,1,3.86,13300.00,7.66,6387.00,999.00,9.93,1076.30,10.01,0.63
2025-07-10T14:24:22,1,3.85,13300.00,7.66,6387.00,999.00,9.94,1078.60,10.01,0.65
2025-07-10T14:24:22,1,3.84,13300.00,7.66,6387.00,999.00,9.96,1079.70,10.00,0.66
2025-07-10T14:24:22,1,3.84,13300.00,7.66,6387.00,999.00,9.97,1080.80,9.99,0.67
2025-07-10T14:24:22,1,3.81,13300.00,7.66,6387.00,999.00,10.00,1082.60,9.99,0.69
2025-07-10T14:24:23,1,3.82,16740.00,9.82,8036.00,999.00,10.01,1084.80,9.99,0.71
2025-07-10T14:24:23,1,3.83,16740.00,9.82,8036.00,999.00,10.04,1087.10,9.98,0.73
2025-07-10T14:24:23,1,3.86,16740.00,9.82,8036.00,999.00,10.08,1090.30,9.98,0.77
2025-07-10T14:24:23,1,3.82,16740.00,9.82,8036.00,999.00,10.13,1094.30,9.98,0.81
2025-07-10T14:24:23,1,3.85,16740.00,9.82,8036.00,999.00,10.16,1099.60,9.98,0.86
2025-07-10T14:24:24,1,3.83,19150.00,11.37,9193.00,999.00,10.21,1105.40,9.98,0.92
2025-07-10T14:24:24,1,3.82,19150.00,11.37,9193.00,999.00,10.27,1111.00,9.98,0.97
2025-07-10T14:24:24,1,3.85,19150.00,11.37,9193.00,999.00,10.33,1115.90,9.98,1.02
2025-07-10T14:24:24,1,3.83,19150.00,11.37,9193.00,999.00,10.39,1120.00,9.98,1.06
2025-07-10T14:24:24,1,3.83,19150.00,11.37,9193.00,999.00,10.44,1123.50,9.98,1.10
2025-07-10T14:24:25,1,3.83,22130.00,13.31,10624.00,999.00,10.50,1126.90,9.98,1.13
2025-07-10T14:24:25,1,3.84,22130.00,13.31,10624.00,999.00,10.55,1130.00,9.98,1.16
2025-07-10T14:24:25,1,3.85,22130.00,13.31,10624.00,999.00,10.61,1132.90,9.99,1.19
2025-07-10T14:24:25,1,3.84,22130.00,13.31,10624.00,999.00,10.64,1136.40,10.01,1.22
2025-07-10T14:24:25,1,3.79,22130.00,13.31,10624.00,999.00,10.68,1140.80,10.01,1.27
2025-07-10T14:24:26,1,3.83,23100.00,13.95,11088.00,999.00,10.73,1147.10,10.01,1.33
2025-07-10T14:24:26,1,3.85,23100.00,13.95,11088.00,999.00,10.76,1150.90,10.02,1.37
2025-07-10T14:24:26,1,3.85,23100.00,13.95,11088.00,999.00,10.80,1154.90,10.03,1.41
2025-07-10T14:24:26,1,3.84,23100.00,13.95,11088.00,999.00,10.81,1159.60,10.04,1.45
2025-07-10T14:24:26,1,3.85,23100.00,13.95,11088.00,999.00,10.84,1162.90,10.05,1.49
2025-07-10T14:24:27,1,3.83,25310.00,15.42,12152.00,999.00,10.85,1164.90,10.06,1.51
2025-07-10T14:24:27,1,3.83,25310.00,15.42,12152.00,999.00,10.88,1167.80,10.07,1.53
2025-07-10T14:24:27,1,3.85,25310.00,15.42,12152.00,999.00,10.90,1170.90,10.08,1.56
2025-07-10T14:24:27,1,3.83,25310.00,15.42,12152.00,999.00,10.95,1172.90,10.09,1.58
2025-07-10T14:24:27,1,3.83,25310.00,15.42,12152.00,999.00,11.00,1176.20,10.10,1.62
2025-07-10T14:24:28,1,3.85,30660.00,19.02,14717.00,999.00,11.05,1179.80,10.11,1.65
2025-07-10T14:24:28,1,3.85,30660.00,19.02,14717.00,999.00,11.12,1183.60,10.12,1.69
2025-07-10T14:24:28,1,3.85,30660.00,19.02,14717.00,999.00,11.17,1187.40,10.13,1.73
2025-07-10T14:24:28,1,3.83,30660.00,19.02,14717.00,999.00,11.22,1190.70,10.14,1.76
2025-07-10T14:24:28,1,3.83,30660.00,19.02,14717.00,999.00,11.30,1195.30,10.17,1.81
2025-07-10T14:24:29,1,3.86,31330.00,19.48,15040.00,999.00,11.34,1200.40,10.18,1.86
2025-07-10T14:24:29,1,3.83,31330.00,19.48,15040.00,999.00,11.41,1206.20,10.19,1.91
2025-07-10T14:24:29,1,3.86,31330.00,19.48,15040.00,999.00,11.44,1212.10,10.20,1.97
2025-07-10T14:24:29,1,3.84,31330.00,19.48,15040.00,999.00,11.48,1218.70,10.22,2.04
2025-07-10T14:24:29,1,3.83,31330.00,19.48,15040.00,999.00,11.53,1225.00,10.23,2.10
2025-07-10T14:24:30,1,3.85,31810.00,19.82,15273.00,999.00,11.56,1230.20,10.25,2.15
2025-07-10T14:24:30,1,3.86,31810.00,19.82,15273.00,999.00,11.60,1233.90,10.26,2.19
2025-07-10T14:24:30,1,3.85,31810.00,19.82,15273.00,999.00,11.63,1238.30,10.28,2.23
2025-07-10T14:24:30,1,3.81,31810.00,19.82,15273.00,999.00,11.67,1241.90,10.30,2.27
2025-07-10T14:24:30,1,3.81,31810.00,19.82,15273.00,999.00,11.65,1245.40,10.33,2.30
2025-07-10T14:24:31,1,3.84,33460.00,20.95,16061.00,999.00,11.67,1248.20,10.35,2.33
2025-07-10T14:24:31,1,3.86,33460.00,20.95,16061.00,999.00,11.66,1251.60,10.37,2.36
2025-07-10T14:24:31,1,3.83,33460.00,20.95,16061.00,999.00,11.65,1254.50,10.38,2.39
2025-07-10T14:24:31,1,3.85,33460.00,20.95,16061.00,999.00,11.64,1257.80,10.40,2.43
2025-07-10T14:24:31,1,3.81,33460.00,20.95,16061.00,999.00,11.64,1262.00,10.41,2.47
2025-07-10T14:24:32,1,3.85,33910.00,21.26,16279.00,999.00,11.64,1266.20,10.44,2.51
2025-07-10T14:24:32,1,3.83,33910.00,21.26,16279.00,999.00,11.66,1271.30,10.45,2.56
2025-07-10T14:24:32,1,3.83,33910.00,21.26,16279.00,999.00,11.68,1275.90,10.48,2.61
2025-07-10T14:24:32,1,3.85,33910.00,21.26,16279.00,999.00,11.71,1280.20,10.50,2.65
2025-07-10T14:24:32,1,3.85,33910.00,21.26,16279.00,999.00,11.75,1284.20,10.52,2.69
2025-07-10T14:24:33,1,3.83,34710.00,21.82,16663.00,999.00,11.78,1288.00,10.54,2.73
2025-07-10T14:24:33,1,3.85,34710.00,21.82,16663.00,999.00,11.83,1291.70,10.55,2.76
2025-07-10T14:24:33,1,3.85,34710.00,21.82,16663.00,999.00,11.87,1295.00,10.57,2.79
2025-07-10T14:24:33,1,3.85,34710.00,21.82,16663.00,999.00,11.91,1297.70,10.59,2.82
2025-07-10T14:24:33,1,3.85,34710.00,21.82,16663.00,999.00,11.95,1299.90,10.60,2.84
2025-07-10T14:24:34,1,3.85,35090.00,22.08,16844.00,999.00,11.98,1303.40,10.62,2.88
2025-07-10T14:24:34,1,3.85,35090.00,22.08,16844.00,999.00,12.00,1307.10,10.65,2.91
2025-07-10T14:24:34,1,3.83,35090.00,22.08,16844.00,999.00,12.02,1311.80,10.67,2.96
2025-07-10T14:24:34,1,3.84,35090.00,22.08,16844.00,999.00,12.05,1317.00,10.68,3.01
2025-07-10T14:24:34,1,3.83,35090.00,22.08,16844.00,999.00,12.06,1320.20,10.70,3.04
2025-07-10T14:24:34,1,3.83,35480.00,22.35,17034.00,999.00,12.06,1324.10,10.72,3.08
2025-07-10T14:24:35,1,3.83,35480.00,22.35,17034.00,999.00,12.08,1328.60,10.74,3.13
2025-07-10T14:24:35,1,3.83,35480.00,22.35,17034.00,999.00,12.10,1332.70,10.76,3.17
2025-07-10T14:24:35,1,3.81,35480.00,22.35,17034.00,999.00,12.09,1335.50,10.78,3.20
