time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-07-30T11:27:40,1,3.88,999.00,999.00,999.00,999.00,21.68,1028.70,21.29,0.16
2025-07-30T11:27:42,1,3.88,999.00,999.00,999.00,999.00,21.69,1028.50,21.32,0.15
2025-07-30T11:27:42,1,3.91,0.00,0.00,0.00,999.00,21.68,1028.50,21.33,0.15
2025-07-30T11:27:43,1,3.91,0.00,0.00,0.00,999.00,21.69,1028.60,21.33,0.15
2025-07-30T11:27:43,1,3.90,0.00,0.00,0.00,999.00,21.69,1028.60,21.33,0.15
2025-07-30T11:27:43,1,3.93,0.00,0.00,0.00,999.00,21.69,1028.20,21.34,0.15
2025-07-30T11:27:43,1,3.91,0.00,0.00,0.00,999.00,21.70,1028.50,21.34,0.15
2025-07-30T11:27:43,1,3.93,0.00,0.00,0.00,999.00,21.69,1028.30,21.34,0.15
2025-07-30T11:27:44,1,3.92,0.00,0.00,0.00,999.00,21.69,1028.30,21.34,0.15
2025-07-30T11:27:44,1,3.91,0.00,0.00,0.00,999.00,21.70,1028.20,21.34,0.15
2025-07-30T11:27:44,1,3.92,0.00,0.00,0.00,999.00,21.69,1028.80,21.34,0.16
2025-07-30T11:27:44,1,3.92,0.00,0.00,0.00,999.00,21.71,1028.40,21.35,0.15
2025-07-30T11:27:44,1,3.93,0.00,0.00,0.00,999.00,21.70,1028.60,21.35,0.15
2025-07-30T11:27:45,1,3.90,0.00,0.00,0.00,999.00,21.71,1028.20,21.35,0.15
2025-07-30T11:27:45,1,3.92,0.00,0.00,0.00,999.00,21.70,1027.60,21.35,0.14
2025-07-30T11:27:45,1,3.93,0.00,0.00,0.00,999.00,21.69,1028.00,21.35,0.15
2025-07-30T11:27:45,1,3.91,0.00,0.00,0.00,999.00,21.69,1028.50,21.35,0.15
2025-07-30T11:27:45,1,3.92,0.00,0.00,0.00,999.00,21.70,1028.40,21.35,0.15
2025-07-30T11:27:46,1,3.92,0.00,0.00,0.00,999.00,21.71,1028.50,21.35,0.15
2025-07-30T11:27:46,1,3.92,0.00,0.00,0.00,999.00,21.70,1028.10,21.35,0.15
2025-07-30T11:27:46,1,3.92,0.00,0.00,0.00,999.00,21.72,1028.10,21.35,0.15
2025-07-30T11:27:46,1,3.91,0.00,0.00,0.00,999.00,21.71,1027.80,21.35,0.15
2025-07-30T11:27:47,1,3.92,0.00,0.00,0.00,999.00,21.70,1028.40,21.35,0.15
2025-07-30T11:27:47,1,3.92,0.00,0.00,0.00,999.00,21.70,1028.40,21.35,0.15
2025-07-30T11:27:47,1,3.93,0.00,0.00,0.00,999.00,21.70,1028.20,21.35,0.15
2025-07-30T11:27:47,1,3.91,0.00,0.00,0.00,999.00,21.48,1029.80,21.35,0.17
2025-07-30T11:27:47,1,3.92,0.00,0.00,0.00,999.00,19.02,1029.80,21.35,0.17
2025-07-30T11:27:48,1,3.92,0.00,0.00,0.00,999.00,16.14,1030.70,21.33,0.18
2025-07-30T11:27:48,1,3.93,0.00,0.00,0.00,999.00,13.75,1030.20,21.24,0.17
2025-07-30T11:27:48,1,3.92,0.00,0.00,0.00,999.00,11.75,1030.20,21.09,0.17
2025-07-30T11:27:48,1,3.92,0.00,0.00,0.00,999.00,10.16,1029.40,20.89,0.16
2025-07-30T11:27:48,1,3.90,0.00,0.00,0.00,999.00,8.83,1029.00,20.64,0.16
2025-07-30T11:27:49,1,3.92,0.00,0.00,0.00,999.00,7.70,1029.70,20.35,0.17
2025-07-30T11:27:49,1,3.93,0.00,0.00,0.00,999.00,6.72,1030.50,20.04,0.17
2025-07-30T11:27:49,1,3.92,0.00,0.00,0.00,999.00,5.88,1029.80,19.72,0.17
2025-07-30T11:27:49,1,3.94,0.00,0.00,0.00,999.00,5.16,1030.30,19.38,0.17
2025-07-30T11:27:49,1,3.91,0.00,0.00,0.00,999.00,4.52,1030.10,19.02,0.17
2025-07-30T11:27:50,1,3.91,0.00,0.00,0.00,999.00,3.96,1030.80,18.65,0.18
2025-07-30T11:27:50,1,3.93,0.00,0.00,0.00,999.00,3.47,1029.30,18.27,0.16
2025-07-30T11:27:50,1,3.92,0.00,0.00,0.00,999.00,3.03,1030.00,17.91,0.17
2025-07-30T11:27:50,1,3.93,0.00,0.00,0.00,999.00,2.66,1030.20,17.53,0.17
2025-07-30T11:27:50,1,3.90,0.00,0.00,0.00,999.00,2.34,1030.20,17.17,0.17
2025-07-30T11:27:51,1,3.92,0.00,0.00,0.00,999.00,2.04,1030.10,16.80,0.17
2025-07-30T11:27:51,1,3.93,0.00,0.00,0.00,999.00,1.80,1030.00,16.44,0.17
2025-07-30T11:27:51,1,3.89,0.00,0.00,0.00,999.00,1.57,1029.50,16.08,0.16
2025-07-30T11:27:51,1,3.92,0.00,0.00,0.00,999.00,1.38,1029.60,15.74,0.16
2025-07-30T11:27:52,1,3.91,0.00,0.00,0.00,999.00,1.21,1030.60,15.41,0.17
2025-07-30T11:27:52,1,3.92,0.00,0.00,0.00,999.00,1.07,1030.00,15.09,0.17
2025-07-30T11:27:52,1,3.91,0.00,0.00,0.00,999.00,0.93,1029.50,14.77,0.16
2025-07-30T11:27:52,1,3.92,0.00,0.00,0.00,999.00,0.83,1030.60,14.47,0.17
2025-07-30T11:27:52,1,3.92,0.00,0.00,0.00,999.00,0.72,1031.00,14.17,0.18
2025-07-30T11:27:53,1,3.94,0.00,0.00,0.00,999.00,0.64,1029.80,13.88,0.17
2025-07-30T11:27:53,1,3.90,0.00,0.00,0.00,999.00,0.59,1029.20,13.60,0.16
2025-07-30T11:27:53,1,3.90,0.00,0.00,0.00,999.00,0.52,1030.10,13.32,0.17
