time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-04-29T14:43:13,1,3.96,36900.00,23.34,17715.00,999.00,6.11,5420.00,6.30,43.67
2025-04-29T14:43:13,1,3.96,36900.00,23.34,17715.00,999.00,6.11,5419.50,6.30,43.67
2025-04-29T14:43:13,1,3.97,36900.00,23.34,17715.00,999.00,6.10,5418.60,6.30,43.66
2025-04-29T14:43:13,1,3.97,36900.00,23.34,17715.00,999.00,6.10,5412.50,6.30,43.60
2025-04-29T14:43:14,1,3.98,36900.00,23.34,17714.00,999.00,6.10,5396.30,6.30,43.44
2025-04-29T14:43:14,1,3.95,36900.00,23.34,17714.00,999.00,6.09,5383.30,6.29,43.31
2025-04-29T14:43:14,1,3.95,36900.00,23.34,17714.00,999.00,6.12,5375.90,6.30,43.24
2025-04-29T14:43:14,1,3.95,36900.00,23.34,17714.00,999.00,6.11,5370.80,6.30,43.18
2025-04-29T14:43:14,1,3.97,36900.00,23.34,17714.00,999.00,6.11,5364.00,6.30,43.12
2025-04-29T14:43:15,1,3.97,36890.00,23.33,17709.00,999.00,6.11,5353.60,6.30,43.01
2025-04-29T14:43:15,1,3.95,36890.00,23.33,17709.00,999.00,6.10,5336.60,6.30,42.85
2025-04-29T14:43:15,1,3.95,36890.00,23.33,17709.00,999.00,6.10,5318.20,6.29,42.66
2025-04-29T14:43:15,1,3.95,36890.00,23.33,17709.00,999.00,6.09,5299.10,6.29,42.47
2025-04-29T14:43:15,1,3.97,36890.00,23.33,17709.00,999.00,6.09,5284.30,6.29,42.33
2025-04-29T14:43:16,1,3.95,36840.00,23.30,17688.00,999.00,6.09,5272.20,6.29,42.21
2025-04-29T14:43:16,1,3.97,36840.00,23.30,17688.00,999.00,6.09,5265.10,6.29,42.14
2025-04-29T14:43:16,1,3.99,36840.00,23.30,17688.00,999.00,6.09,5264.50,6.29,42.13
2025-04-29T14:43:16,1,3.97,36840.00,23.30,17688.00,999.00,6.08,5262.30,6.29,42.11
2025-04-29T14:43:16,1,3.95,36840.00,23.30,17688.00,999.00,6.08,5253.00,6.29,42.02
2025-04-29T14:43:17,1,3.97,36830.00,23.29,17679.00,999.00,6.08,5236.90,6.29,41.86
2025-04-29T14:43:17,1,3.98,36830.00,23.29,17679.00,999.00,6.08,5220.10,6.29,41.69
