time,deviceMode,battV,ec,sal,tds,dallasTemp,thermTemp,pt100Temp,brFastTemp,lt450,lt500,lt550,lt570,lt600,lt650,brPressure,brTemperature,brDepth,gpsLat,gpsLon,gpsAlt,gpsSpeed_ms,gpsFix,gpsSats
2026-06-11T05:52:08,0,3.73,16260.00,9.52,8784.00,,,,23.51,,,,,,,1022.90,24.50,0.10,,,,,,
2026-06-11T05:52:08,0,3.74,16260.00,9.52,8784.00,,,,23.49,,,,,,,1022.60,24.48,0.10,,,,,,
2026-06-11T05:52:08,0,3.73,16260.00,9.52,8784.00,,,,23.46,,,,,,,1023.10,24.49,0.10,,,,,,
2026-06-11T05:52:08,0,3.73,16260.00,9.52,8784.00,,,,23.44,,,,,,,1022.90,24.49,0.10,,,,,,
2026-06-11T05:52:08,0,3.72,16260.00,9.52,8784.00,,,,23.42,,,,,,,1022.40,24.49,0.09,,,,,,
2026-06-11T05:52:08,0,3.72,16260.00,9.52,8784.00,,,,23.41,,,,,,,1022.90,24.49,0.10,,,,,,
2026-06-11T05:52:09,0,3.72,16260.00,9.52,8784.00,,,,23.39,,,,,,,1023.00,24.49,0.10,,,,,,
2026-06-11T05:52:09,0,3.73,16260.00,9.52,8784.00,,,,23.36,,,,,,,1022.70,24.49,0.10,,,,,,
2026-06-11T05:52:09,0,3.73,16260.00,9.52,8784.00,,,,23.35,,,,,,,1022.80,24.49,0.10,,,,,,
2026-06-11T05:52:09,0,3.73,16260.00,9.52,8784.00,,,,23.34,,,,,,,1023.20,24.49,0.10,,,,,,
2026-06-11T05:52:09,0,3.72,16260.00,9.52,8784.00,,,,23.33,,,,,,,1022.60,24.49,0.10,,,,,,
2026-06-11T05:52:09,0,3.73,16260.00,9.52,8784.00,,,,23.31,,,,,,,1023.10,24.49,0.10,,,,,,
2026-06-11T05:52:09,0,3.74,16260.00,9.52,8784.00,,,,23.29,,,,,,,1023.20,24.49,0.10,,,,,,
2026-06-11T05:52:09,0,3.72,16260.00,9.52,8784.00,,,,23.28,,,,,,,1022.20,24.49,0.09,,,,,,
2026-06-11T05:52:09,0,3.73,16260.00,9.52,8784.00,,,,23.26,,,,,,,1022.50,24.48,0.09,,,,,,
2026-06-11T05:52:09,0,3.72,16260.00,9.52,8784.00,,,,23.24,,,,,,,1023.10,24.48,0.10,,,,,,
2026-06-11T05:52:09,0,3.73,16260.00,9.52,8784.00,,,,23.23,,,,,,,1023.00,24.48,0.10,,,,,,
2026-06-11T05:52:09,0,3.72,16260.00,9.52,8784.00,,,,23.23,,,,,,,1022.80,24.48,0.10,,,,,,
2026-06-11T05:52:09,0,3.73,16260.00,9.52,8784.00,,,,23.21,,,,,,,1022.70,24.48,0.10,,,,,,
2026-06-11T05:52:09,0,3.74,16260.00,9.52,8784.00,,,,23.20,,,,,,,1022.60,24.47,0.10,,,,,,
2026-06-11T05:52:09,0,3.73,16260.00,9.52,8784.00,,,,23.18,,,,,,,1022.60,24.47,0.10,,,,,,
2026-06-11T05:52:10,0,3.74,16260.00,9.52,8784.00,,,,23.18,,,,,,,1022.40,24.47,0.09,,,,,,
2026-06-11T05:52:10,0,3.72,16260.00,9.52,8784.00,,,,23.18,,,,,,,1022.40,24.46,0.09,,,,,,
2026-06-11T05:52:10,0,3.74,16260.00,9.52,8784.00,,,,23.16,,,,,,,1022.60,24.46,0.10,,,,,,
2026-06-11T05:52:10,0,3.73,16260.00,9.52,8784.00,,,,23.16,,,,,,,1022.10,24.46,0.09,,,,,,
2026-06-11T05:52:10,0,3.73,16260.00,9.52,8784.00,,,,23.15,,,,,,,1022.40,24.46,0.09,,,,,,
2026-06-11T05:52:10,0,3.73,16260.00,9.52,8784.00,,,,23.13,,,,,,,1022.50,24.45,0.09,,,,,,
2026-06-11T05:52:10,0,3.73,16260.00,9.52,8784.00,,,,23.13,,,,,,,1022.10,24.45,0.09,,,,,,
2026-06-11T05:52:10,0,3.72,16260.00,9.52,8784.00,,,,23.12,,,,,,,1021.80,24.45,0.09,,,,,,
2026-06-11T05:52:10,0,3.73,16260.00,9.52,8784.00,,,,23.12,,,,,,,1022.30,24.45,0.09,,,,,,
2026-06-11T05:52:10,0,3.74,16260.00,9.52,8784.00,,,,23.11,,,,,,,1021.90,24.45,0.09,,,,,,
