time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2026-06-07T06:41:03,1,3.85,999.00,999.00,999.00,999.00,11.91,1021.10,12.79,0.08
2026-06-07T06:41:05,1,3.83,999.00,999.00,999.00,999.00,11.91,1021.40,12.81,0.08
2026-06-07T06:41:05,1,3.84,364.90,0.18,175.00,999.00,11.91,1021.60,12.82,0.09
2026-06-07T06:41:06,1,3.83,364.90,0.18,175.00,999.00,11.91,1021.00,12.82,0.08
2026-06-07T06:41:06,1,3.86,364.90,0.18,175.00,999.00,11.91,1021.30,12.82,0.08
2026-06-07T06:41:06,1,3.88,511.50,0.25,246.00,999.00,11.91,1021.20,12.83,0.08
2026-06-07T06:41:06,1,3.85,511.50,0.25,246.00,999.00,11.91,1021.20,12.83,0.08
2026-06-07T06:41:06,1,3.88,511.50,0.25,246.00,999.00,11.91,1021.30,12.83,0.08
2026-06-07T06:41:07,1,3.87,511.50,0.25,246.00,999.00,11.91,1021.00,12.83,0.08
2026-06-07T06:41:07,1,3.88,511.50,0.25,246.00,999.00,11.91,1021.50,12.83,0.08
2026-06-07T06:41:07,1,3.86,420.60,0.20,202.00,999.00,11.91,1021.50,12.83,0.08
2026-06-07T06:41:07,1,3.86,420.60,0.20,202.00,999.00,11.90,1021.10,12.84,0.08
2026-06-07T06:41:08,1,3.85,420.60,0.20,202.00,999.00,11.90,1021.10,12.83,0.08
2026-06-07T06:41:08,1,3.87,420.60,0.20,202.00,999.00,11.90,1021.10,12.83,0.08
2026-06-07T06:41:08,1,3.87,780.00,0.38,374.00,999.00,11.89,1021.40,12.84,0.08
2026-06-07T06:41:08,1,3.88,780.00,0.38,374.00,999.00,11.89,1021.40,12.84,0.08
2026-06-07T06:41:08,1,3.88,780.00,0.38,374.00,999.00,11.88,1021.30,12.84,0.08
2026-06-07T06:41:09,1,3.88,780.00,0.38,374.00,999.00,11.89,1021.20,12.84,0.08
2026-06-07T06:41:09,1,3.85,780.00,0.38,374.00,999.00,11.88,1020.90,12.83,0.08
2026-06-07T06:41:09,1,3.87,881.70,0.43,423.00,999.00,11.89,1021.10,12.84,0.08
2026-06-07T06:41:09,1,3.86,881.70,0.43,423.00,999.00,11.88,1021.20,12.83,0.08
2026-06-07T06:41:09,1,3.85,881.70,0.43,423.00,999.00,11.88,1021.20,12.83,0.08
2026-06-07T06:41:10,1,3.88,881.70,0.43,423.00,999.00,11.88,1021.00,12.83,0.08
2026-06-07T06:41:10,1,3.85,881.70,0.43,423.00,999.00,11.88,1020.80,12.83,0.08
2026-06-07T06:41:10,1,3.86,866.80,0.43,416.00,999.00,11.88,1021.10,12.83,0.08
2026-06-07T06:41:10,1,3.86,866.80,0.43,416.00,999.00,11.88,1021.00,12.83,0.08
2026-06-07T06:41:10,1,3.88,866.80,0.43,416.00,999.00,11.87,1021.20,12.83,0.08
2026-06-07T06:41:11,1,3.86,866.80,0.43,416.00,999.00,11.88,1021.30,12.84,0.08
2026-06-07T06:41:11,1,3.87,866.80,0.43,416.00,999.00,11.88,1021.00,12.84,0.08
2026-06-07T06:41:11,1,3.89,367.10,0.18,176.00,999.00,11.87,1020.80,12.84,0.08
2026-06-07T06:41:11,1,3.86,367.10,0.18,176.00,999.00,11.87,1021.20,12.84,0.08
2026-06-07T06:41:11,1,3.88,367.10,0.18,176.00,999.00,11.87,1021.00,12.84,0.08
2026-06-07T06:41:12,1,3.87,367.10,0.18,176.00,999.00,11.87,1020.70,12.84,0.08
2026-06-07T06:41:12,1,3.88,635.90,0.31,305.00,999.00,11.88,1021.30,12.83,0.08
2026-06-07T06:41:12,1,3.85,635.90,0.31,305.00,999.00,11.87,1021.10,12.83,0.08
2026-06-07T06:41:12,1,3.88,635.90,0.31,305.00,999.00,11.87,1021.00,12.83,0.08
2026-06-07T06:41:12,1,3.85,635.90,0.31,305.00,999.00,11.87,1021.60,12.84,0.09
2026-06-07T06:41:13,1,3.84,635.90,0.31,305.00,999.00,11.87,1020.80,12.84,0.08
2026-06-07T06:41:13,1,3.86,895.80,0.44,430.00,999.00,11.87,1020.90,12.84,0.08
2026-06-07T06:41:13,1,3.86,895.80,0.44,430.00,999.00,11.88,1021.40,12.84,0.08
2026-06-07T06:41:13,1,3.87,895.80,0.44,430.00,999.00,11.88,1021.20,12.84,0.08
2026-06-07T06:41:14,1,3.88,895.80,0.44,430.00,999.00,11.88,1021.00,12.83,0.08
