time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2026-06-08T06:36:50,1,3.67,999.00,999.00,999.00,999.00,15.78,1016.20,17.67,0.03
2026-06-08T06:36:53,1,3.66,999.00,999.00,999.00,999.00,15.78,1016.70,17.70,0.04
2026-06-08T06:36:53,1,3.72,0.00,0.00,0.00,999.00,15.77,1015.90,17.71,0.03
2026-06-08T06:36:53,1,3.71,0.00,0.00,0.00,999.00,15.78,1016.10,17.71,0.03
2026-06-08T06:36:53,1,3.70,0.00,0.00,0.00,999.00,15.78,1016.30,17.71,0.03
2026-06-08T06:36:53,1,3.70,0.00,0.00,0.00,999.00,15.79,1016.60,17.71,0.04
2026-06-08T06:36:54,1,3.72,0.00,0.00,0.00,999.00,15.78,1016.30,17.72,0.03
2026-06-08T06:36:54,1,3.71,0.00,0.00,0.00,999.00,15.78,1016.30,17.71,0.03
2026-06-08T06:36:54,1,3.70,0.00,0.00,0.00,999.00,15.78,1016.50,17.72,0.03
2026-06-08T06:36:54,1,3.69,0.00,0.00,0.00,999.00,15.79,1016.40,17.72,0.03
2026-06-08T06:36:54,1,3.72,0.00,0.00,0.00,999.00,15.80,1016.50,17.72,0.03
2026-06-08T06:36:55,1,3.72,0.00,0.00,0.00,999.00,15.79,1016.70,17.72,0.04
2026-06-08T06:36:55,1,3.72,0.00,0.00,0.00,999.00,15.79,1015.90,17.72,0.03
2026-06-08T06:36:55,1,3.70,0.00,0.00,0.00,999.00,15.79,1016.30,17.71,0.03
2026-06-08T06:36:55,1,3.70,0.00,0.00,0.00,999.00,15.79,1016.50,17.71,0.03
2026-06-08T06:36:56,1,3.70,0.00,0.00,0.00,999.00,15.79,1016.50,17.72,0.03
2026-06-08T06:36:56,1,3.70,0.00,0.00,0.00,999.00,15.79,1016.50,17.72,0.03
2026-06-08T06:36:56,1,3.72,0.00,0.00,0.00,999.00,15.80,1016.10,17.72,0.03
2026-06-08T06:36:56,1,3.72,0.00,0.00,0.00,999.00,15.81,1016.30,17.71,0.03
2026-06-08T06:36:56,1,3.74,0.00,0.00,0.00,999.00,15.80,1016.50,17.72,0.03
2026-06-08T06:36:57,1,3.70,0.00,0.00,0.00,999.00,15.82,1016.00,17.72,0.03
2026-06-08T06:36:57,1,3.70,0.00,0.00,0.00,999.00,15.80,1015.60,17.72,0.03
2026-06-08T06:36:57,1,3.72,0.00,0.00,0.00,999.00,15.82,1016.20,17.72,0.03
2026-06-08T06:36:57,1,3.71,0.00,0.00,0.00,999.00,15.81,1016.70,17.71,0.04
2026-06-08T06:36:57,1,3.72,0.00,0.00,0.00,999.00,15.81,1016.80,17.71,0.04
2026-06-08T06:36:58,1,3.72,0.00,0.00,0.00,999.00,15.78,1016.20,17.71,0.03
2026-06-08T06:36:58,1,3.70,0.00,0.00,0.00,999.00,15.81,1017.30,17.68,0.04
2026-06-08T06:36:58,1,3.69,0.00,0.00,0.00,999.00,15.80,1016.50,17.71,0.03
2026-06-08T06:36:58,1,3.70,0.00,0.00,0.00,999.00,15.81,1016.40,17.71,0.03
2026-06-08T06:36:58,1,3.70,0.00,0.00,0.00,999.00,15.80,1016.40,17.71,0.03
2026-06-08T06:36:59,1,3.71,0.00,0.00,0.00,999.00,15.81,1016.20,17.71,0.03
2026-06-08T06:36:59,1,3.72,0.00,0.00,0.00,999.00,15.80,1016.20,17.71,0.03
2026-06-08T06:36:59,1,3.68,0.00,0.00,0.00,999.00,15.79,1016.70,17.71,0.04
2026-06-08T06:36:59,1,3.71,0.00,0.00,0.00,999.00,15.79,1016.50,17.71,0.03
2026-06-08T06:36:59,1,3.70,0.00,0.00,0.00,999.00,15.79,1016.40,17.71,0.03
2026-06-08T06:37:00,1,3.72,0.00,0.00,0.00,999.00,15.79,1016.20,17.71,0.03
2026-06-08T06:37:00,1,3.72,0.00,0.00,0.00,999.00,15.79,1016.80,17.71,0.04
2026-06-08T06:37:00,1,3.71,0.00,0.00,0.00,999.00,15.80,1016.40,17.71,0.03
2026-06-08T06:37:00,1,3.71,0.00,0.00,0.00,999.00,15.79,1016.30,17.70,0.03
2026-06-08T06:37:00,1,3.73,0.00,0.00,0.00,999.00,15.80,1016.30,17.70,0.03
2026-06-08T06:37:01,1,3.72,0.00,0.00,0.00,999.00,15.79,1016.20,17.71,0.03
2026-06-08T06:37:01,1,3.72,0.00,0.00,0.00,999.00,15.80,1016.20,17.71,0.03
2026-06-08T06:37:01,1,3.72,0.00,0.00,0.00,999.00,15.80,1015.90,17.70,0.03
