time,deviceMode,battV,ec,sal,tds,dallasTemp,thermTemp,pt100Temp,brFastTemp,lt450,lt500,lt550,lt570,lt600,lt650,brPressure,brTemperature,brDepth,gpsLat,gpsLon,gpsAlt,gpsSpeed_ms,gpsFix,gpsSats
2026-06-11T03:51:10,0,3.73,999.00,999.00,999.00,,,,22.93,,,,,,,1010.30,21.94,-0.03,,,,,,
2026-06-11T03:51:10,0,3.75,999.00,999.00,999.00,,,,22.95,,,,,,,1010.50,22.03,-0.02,,,,,,
2026-06-11T03:51:10,0,3.75,999.00,999.00,999.00,,,,22.93,,,,,,,1010.40,22.08,-0.03,,,,,,
2026-06-11T03:51:10,0,3.76,999.00,999.00,999.00,,,,22.95,,,,,,,1010.10,22.11,-0.03,,,,,,
2026-06-11T03:51:10,0,3.74,999.00,999.00,999.00,,,,22.94,,,,,,,1010.40,22.13,-0.03,,,,,,
2026-06-11T03:51:10,0,3.74,999.00,999.00,999.00,,,,22.95,,,,,,,1010.40,22.15,-0.03,,,,,,
2026-06-11T03:51:10,0,3.74,999.00,999.00,999.00,,,,22.95,,,,,,,1010.30,22.16,-0.03,,,,,,
2026-06-11T03:51:10,0,3.75,999.00,999.00,999.00,,,,22.93,,,,,,,1010.50,22.17,-0.02,,,,,,
2026-06-11T03:51:10,0,3.74,999.00,999.00,999.00,,,,22.95,,,,,,,1010.50,22.18,-0.02,,,,,,
2026-06-11T03:51:11,0,3.74,999.00,999.00,999.00,,,,22.95,,,,,,,1010.30,22.18,-0.03,,,,,,
2026-06-11T03:51:11,0,3.74,999.00,999.00,999.00,,,,22.95,,,,,,,1010.60,22.19,-0.02,,,,,,
2026-06-11T03:51:11,0,3.74,999.00,999.00,999.00,,,,22.95,,,,,,,1010.60,22.19,-0.02,,,,,,
2026-06-11T03:51:11,0,3.76,999.00,999.00,999.00,,,,22.94,,,,,,,1010.20,22.09,-0.03,,,,,,
2026-06-11T03:51:11,0,3.75,999.00,999.00,999.00,,,,22.96,,,,,,,1010.10,22.14,-0.03,,,,,,
2026-06-11T03:51:11,0,3.74,999.00,999.00,999.00,,,,22.94,,,,,,,1010.40,22.16,-0.03,,,,,,
2026-06-11T03:51:11,0,3.74,999.00,999.00,999.00,,,,22.95,,,,,,,1011.00,22.18,-0.02,,,,,,
2026-06-11T03:51:11,0,3.76,999.00,999.00,999.00,,,,22.93,,,,,,,1010.70,22.19,-0.02,,,,,,
2026-06-11T03:51:11,0,3.75,999.00,999.00,999.00,,,,22.95,,,,,,,1010.10,22.19,-0.03,,,,,,
2026-06-11T03:51:11,0,3.74,999.00,999.00,999.00,,,,22.95,,,,,,,1010.90,22.20,-0.02,,,,,,
2026-06-11T03:51:11,0,3.74,999.00,999.00,999.00,,,,22.94,,,,,,,1010.50,22.20,-0.02,,,,,,
2026-06-11T03:51:11,0,3.74,999.00,999.00,999.00,,,,22.97,,,,,,,1010.80,22.20,-0.02,,,,,,
2026-06-11T03:51:11,0,3.75,999.00,999.00,999.00,,,,22.96,,,,,,,1010.70,22.21,-0.02,,,,,,
2026-06-11T03:51:11,0,3.74,999.00,999.00,999.00,,,,22.95,,,,,,,1010.50,22.21,-0.02,,,,,,
2026-06-11T03:51:12,0,3.75,999.00,999.00,999.00,,,,22.93,,,,,,,1010.20,22.21,-0.03,,,,,,
2026-06-11T03:51:12,0,3.76,999.00,999.00,999.00,,,,22.93,,,,,,,1010.30,22.22,-0.03,,,,,,
2026-06-11T03:51:12,0,3.76,999.00,999.00,999.00,,,,22.93,,,,,,,1010.10,22.21,-0.03,,,,,,
2026-06-11T03:51:12,0,3.74,999.00,999.00,999.00,,,,22.93,,,,,,,1010.50,22.21,-0.02,,,,,,
2026-06-11T03:51:12,0,3.74,999.00,999.00,999.00,,,,22.93,,,,,,,1010.20,22.22,-0.03,,,,,,
2026-06-11T03:51:12,0,3.74,999.00,999.00,999.00,,,,22.94,,,,,,,1010.20,22.22,-0.03,,,,,,
2026-06-11T03:51:12,0,3.75,999.00,999.00,999.00,,,,22.94,,,,,,,1010.30,22.22,-0.03,,,,,,
2026-06-11T03:51:12,0,3.76,9.89,0.00,5.00,,,,22.97,,,,,,,1010.30,22.22,-0.03,,,,,,
2026-06-11T03:51:12,0,3.75,9.89,0.00,5.00,,,,22.95,,,,,,,1010.60,22.22,-0.02,,,,,,
2026-06-11T03:51:12,0,3.75,9.89,0.00,5.00,,,,22.95,,,,,,,1010.50,22.22,-0.02,,,,,,
2026-06-11T03:51:12,0,3.74,9.89,0.00,5.00,,,,22.95,,,,,,,1010.30,22.22,-0.03,,,,,,
2026-06-11T03:51:12,0,3.74,9.89,0.00,5.00,,,,22.99,,,,,,,1010.40,22.22,-0.03,,,,,,
2026-06-11T03:51:12,0,3.74,9.89,0.00,5.00,,,,23.00,,,,,,,1010.00,22.22,-0.03,,,,,,
2026-06-11T03:51:12,0,3.74,9.89,0.00,5.00,,,,22.94,,,,,,,1009.90,22.23,-0.03,,,,,,
2026-06-11T03:51:12,0,3.74,9.89,0.00,5.00,,,,22.99,,,,,,,1010.60,22.22,-0.02,,,,,,
2026-06-11T03:51:12,0,3.74,9.89,0.00,5.00,,,,22.95,,,,,,,1010.40,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.76,9.89,0.00,5.00,,,,22.97,,,,,,,1010.00,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.74,9.89,0.00,5.00,,,,22.95,,,,,,,1010.40,22.22,-0.03,,,,,,
2026-06-11T03:51:13,0,3.75,9.89,0.00,5.00,,,,22.95,,,,,,,1010.30,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.75,9.89,0.00,5.00,,,,22.95,,,,,,,1010.40,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.74,9.89,0.00,5.00,,,,22.95,,,,,,,1010.40,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.74,9.89,0.00,5.00,,,,22.95,,,,,,,1010.60,22.23,-0.02,,,,,,
2026-06-11T03:51:13,0,3.74,9.89,0.00,5.00,,,,22.95,,,,,,,1010.00,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.74,9.89,0.00,5.00,,,,23.00,,,,,,,1010.00,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.75,9.89,0.00,5.00,,,,22.95,,,,,,,1010.20,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.75,9.89,0.00,5.00,,,,22.95,,,,,,,1010.50,22.23,-0.02,,,,,,
2026-06-11T03:51:13,0,3.74,9.89,0.00,5.00,,,,22.95,,,,,,,1010.30,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.74,9.89,0.00,5.00,,,,23.00,,,,,,,1010.60,22.23,-0.02,,,,,,
2026-06-11T03:51:13,0,3.75,9.89,0.00,5.00,,,,23.00,,,,,,,1010.40,22.23,-0.03,,,,,,
2026-06-11T03:51:13,0,3.75,9.89,0.00,5.00,,,,23.01,,,,,,,1010.90,22.23,-0.02,,,,,,
2026-06-11T03:51:13,0,3.75,9.89,0.00,5.00,,,,22.95,,,,,,,1010.30,22.24,-0.03,,,,,,
2026-06-11T03:51:14,0,3.76,9.89,0.00,5.00,,,,22.93,,,,,,,1010.40,22.23,-0.03,,,,,,
2026-06-11T03:51:14,0,3.74,9.89,0.00,5.00,,,,22.94,,,,,,,1010.00,22.23,-0.03,,,,,,
2026-06-11T03:51:14,0,3.75,9.89,0.00,5.00,,,,22.94,,,,,,,1010.30,22.23,-0.03,,,,,,
2026-06-11T03:51:14,0,3.75,9.89,0.00,5.00,,,,22.94,,,,,,,1010.60,22.24,-0.02,,,,,,
2026-06-11T03:51:14,0,3.74,9.89,0.00,5.00,,,,22.94,,,,,,,1010.50,22.24,-0.02,,,,,,
2026-06-11T03:51:14,0,3.74,9.89,0.00,5.00,,,,22.94,,,,,,,1010.30,22.24,-0.03,,,,,,
2026-06-11T03:51:14,0,3.75,9.73,0.00,5.00,,,,22.95,,,,,,,1010.60,22.23,-0.02,,,,,,
2026-06-11T03:51:14,0,3.74,9.73,0.00,5.00,,,,23.06,,,,,,,1009.90,22.22,-0.03,,,,,,
2026-06-11T03:51:14,0,3.76,9.73,0.00,5.00,,,,22.95,,,,,,,1010.20,22.23,-0.03,,,,,,
2026-06-11T03:51:14,0,3.74,9.73,0.00,5.00,,,,23.06,,,,,,,1010.20,22.23,-0.03,,,,,,
2026-06-11T03:51:14,0,3.75,9.73,0.00,5.00,,,,23.06,,,,,,,1010.70,22.23,-0.02,,,,,,
2026-06-11T03:51:14,0,3.76,9.73,0.00,5.00,,,,22.98,,,,,,,1010.40,22.23,-0.03,,,,,,
2026-06-11T03:51:14,0,3.76,9.73,0.00,5.00,,,,22.95,,,,,,,1010.60,22.23,-0.02,,,,,,
2026-06-11T03:51:14,0,3.74,9.73,0.00,5.00,,,,22.95,,,,,,,1010.10,22.13,-0.03,,,,,,
2026-06-11T03:51:15,0,3.75,9.73,0.00,5.00,,,,23.06,,,,,,,1010.20,22.18,-0.03,,,,,,
2026-06-11T03:51:15,0,3.76,9.73,0.00,5.00,,,,23.00,,,,,,,1010.80,22.20,-0.02,,,,,,
2026-06-11T03:51:15,0,3.75,9.73,0.00,5.00,,,,22.95,,,,,,,1010.60,22.22,-0.02,,,,,,
