time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-07-28T02:07:07,1,3.21,999.00,999.00,999.00,999.00,21.67,1031.90,21.36,0.19
2025-07-28T02:07:09,1,3.20,999.00,999.00,999.00,999.00,21.66,1031.00,21.38,0.18
2025-07-28T02:07:09,1,3.24,999.00,999.00,999.00,999.00,21.65,1031.70,21.39,0.19
2025-07-28T02:07:10,1,3.25,0.00,0.00,0.00,999.00,21.65,1032.00,21.39,0.19
2025-07-28T02:07:10,1,3.25,0.00,0.00,0.00,999.00,21.66,1032.60,21.39,0.19
2025-07-28T02:07:10,1,3.25,0.00,0.00,0.00,999.00,21.67,1031.60,21.40,0.18
2025-07-28T02:07:10,1,3.23,0.00,0.00,0.00,999.00,21.65,1031.80,21.39,0.19
2025-07-28T02:07:10,1,3.24,0.00,0.00,0.00,999.00,21.65,1032.50,21.40,0.19
2025-07-28T02:07:11,1,3.25,0.00,0.00,0.00,999.00,21.65,1032.50,21.40,0.19
2025-07-28T02:07:11,1,3.26,0.00,0.00,0.00,999.00,21.65,1032.00,21.40,0.19
2025-07-28T02:07:11,1,3.25,0.00,0.00,0.00,999.00,21.67,1031.50,21.40,0.18
2025-07-28T02:07:11,1,3.25,0.00,0.00,0.00,999.00,21.66,1032.00,21.40,0.19
2025-07-28T02:07:11,1,3.25,0.00,0.00,0.00,999.00,21.65,1032.00,21.40,0.19
2025-07-28T02:07:12,1,3.25,0.00,0.00,0.00,999.00,21.65,1032.30,21.39,0.19
2025-07-28T02:07:12,1,3.25,0.00,0.00,0.00,999.00,21.66,1031.60,21.40,0.18
2025-07-28T02:07:12,1,3.25,0.00,0.00,0.00,999.00,21.67,1031.90,21.40,0.19
2025-07-28T02:07:12,1,3.25,0.00,0.00,0.00,999.00,21.67,1031.50,21.40,0.18
2025-07-28T02:07:13,1,3.25,0.00,0.00,0.00,999.00,21.64,1031.70,21.40,0.19
2025-07-28T02:07:13,1,3.25,0.00,0.00,0.00,999.00,21.65,1031.60,21.40,0.18
2025-07-28T02:07:13,1,3.25,0.00,0.00,0.00,999.00,21.66,1031.90,21.40,0.19
2025-07-28T02:07:13,1,3.25,0.00,0.00,0.00,999.00,21.67,1031.80,21.40,0.19
2025-07-28T02:07:13,1,3.24,0.00,0.00,0.00,999.00,21.66,1031.90,21.40,0.19
2025-07-28T02:07:14,1,3.28,0.00,0.00,0.00,999.00,21.65,1032.20,21.40,0.19
2025-07-28T02:07:14,1,3.25,0.00,0.00,0.00,999.00,21.65,1031.90,21.40,0.19
2025-07-28T02:07:14,1,3.24,0.00,0.00,0.00,999.00,21.66,1031.80,21.40,0.19
2025-07-28T02:07:14,1,3.24,0.00,0.00,0.00,999.00,21.67,1031.80,21.40,0.19
2025-07-28T02:07:14,1,3.25,0.00,0.00,0.00,999.00,21.64,1031.80,21.41,0.19
2025-07-28T02:07:15,1,3.26,0.00,0.00,0.00,999.00,21.66,1031.80,21.40,0.19
