time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-04-29T14:31:20,1,3.94,999.00,999.00,999.00,999.00,13.70,1018.10,14.73,0.05
2025-04-29T14:31:23,1,3.95,999.00,999.00,999.00,999.00,13.69,1017.90,14.76,0.05
2025-04-29T14:31:23,1,3.99,0.00,0.00,0.00,999.00,13.70,1018.00,14.77,0.05
2025-04-29T14:31:23,1,3.96,0.00,0.00,0.00,999.00,13.70,1017.90,14.77,0.05
2025-04-29T14:31:23,1,3.95,0.00,0.00,0.00,999.00,13.69,1017.80,14.77,0.05
2025-04-29T14:31:24,1,3.96,0.00,0.00,0.00,999.00,13.69,1017.90,14.78,0.05
2025-04-29T14:31:24,1,3.99,0.00,0.00,0.00,999.00,13.69,1017.60,14.78,0.05
2025-04-29T14:31:24,1,4.00,0.00,0.00,0.00,999.00,13.69,1018.20,14.78,0.05
2025-04-29T14:31:24,1,3.97,0.00,0.00,0.00,999.00,13.69,1018.10,14.78,0.05
2025-04-29T14:31:24,1,3.99,0.00,0.00,0.00,999.00,13.68,1017.80,14.78,0.05
2025-04-29T14:31:25,1,3.99,0.00,0.00,0.00,999.00,13.70,1018.20,14.78,0.05
2025-04-29T14:31:25,1,3.99,0.00,0.00,0.00,999.00,13.68,1017.80,14.78,0.05
2025-04-29T14:31:25,1,3.99,0.00,0.00,0.00,999.00,13.69,1017.80,14.78,0.05
2025-04-29T14:31:25,1,3.99,0.00,0.00,0.00,999.00,13.69,1018.00,14.78,0.05
2025-04-29T14:31:25,1,3.96,0.00,0.00,0.00,999.00,13.69,1018.20,14.78,0.05
2025-04-29T14:31:26,1,3.96,0.00,0.00,0.00,999.00,13.68,1017.70,14.78,0.05
2025-04-29T14:31:26,1,3.99,0.00,0.00,0.00,999.00,13.68,1018.00,14.79,0.05
2025-04-29T14:31:26,1,3.99,0.00,0.00,0.00,999.00,13.69,1018.00,14.78,0.05
2025-04-29T14:31:26,1,3.96,0.00,0.00,0.00,999.00,13.69,1017.70,14.79,0.05
2025-04-29T14:31:26,1,3.96,0.00,0.00,0.00,999.00,13.69,1017.90,14.79,0.05
2025-04-29T14:31:27,1,3.98,0.00,0.00,0.00,999.00,13.69,1018.10,14.78,0.05
2025-04-29T14:31:27,1,4.00,0.00,0.00,0.00,999.00,13.70,1017.80,14.79,0.05
2025-04-29T14:31:27,1,3.99,0.00,0.00,0.00,999.00,13.70,1017.80,14.79,0.05
2025-04-29T14:31:27,1,3.97,0.00,0.00,0.00,999.00,13.68,1017.60,14.79,0.05
2025-04-29T14:31:27,1,3.95,0.00,0.00,0.00,999.00,13.69,1017.40,14.79,0.04
2025-04-29T14:31:28,1,3.99,0.00,0.00,0.00,999.00,13.68,1017.60,14.78,0.05
2025-04-29T14:31:28,1,3.97,0.00,0.00,0.00,999.00,13.69,1017.90,14.78,0.05
2025-04-29T14:31:28,1,3.99,0.00,0.00,0.00,999.00,13.69,1017.80,14.79,0.05
2025-04-29T14:31:28,1,3.97,0.00,0.00,0.00,999.00,13.70,1017.60,14.78,0.05
2025-04-29T14:31:28,1,4.00,0.00,0.00,0.00,999.00,13.70,1017.60,14.79,0.05
2025-04-29T14:31:29,1,3.99,0.00,0.00,0.00,999.00,13.69,1017.50,14.79,0.04
2025-04-29T14:31:29,1,3.97,0.00,0.00,0.00,999.00,13.71,1017.70,14.78,0.05
2025-04-29T14:31:29,1,3.98,0.00,0.00,0.00,999.00,13.70,1017.60,14.78,0.05
2025-04-29T14:31:29,1,3.99,0.00,0.00,0.00,999.00,13.69,1018.00,14.78,0.05
2025-04-29T14:31:29,1,4.00,0.00,0.00,0.00,999.00,13.69,1017.70,14.79,0.05
2025-04-29T14:31:30,1,3.99,0.00,0.00,0.00,999.00,13.69,1017.70,14.78,0.05
2025-04-29T14:31:30,1,4.01,0.00,0.00,0.00,999.00,13.70,1018.00,14.78,0.05
2025-04-29T14:31:30,1,3.97,0.00,0.00,0.00,999.00,13.69,1017.80,14.78,0.05
2025-04-29T14:31:30,1,3.98,0.00,0.00,0.00,999.00,13.69,1017.50,14.78,0.04
2025-04-29T14:31:30,1,3.97,0.00,0.00,0.00,999.00,13.69,1017.50,14.78,0.04
2025-04-29T14:31:31,1,3.98,0.00,0.00,0.00,999.00,13.70,1017.70,14.78,0.05
2025-04-29T14:31:31,1,3.99,0.00,0.00,0.00,999.00,13.69,1017.50,14.78,0.04
2025-04-29T14:31:31,1,3.99,0.00,0.00,0.00,999.00,13.69,1017.80,14.78,0.05
2025-04-29T14:31:31,1,4.00,0.00,0.00,0.00,999.00,13.69,1017.60,14.78,0.05
2025-04-29T14:31:31,1,3.97,0.00,0.00,0.00,999.00,13.69,1018.20,14.78,0.05
2025-04-29T14:31:32,1,4.00,0.00,0.00,0.00,999.00,13.69,1017.70,14.78,0.05
2025-04-29T14:31:32,1,3.98,0.00,0.00,0.00,999.00,13.70,1017.80,14.78,0.05
2025-04-29T14:31:32,1,3.99,0.00,0.00,0.00,999.00,13.70,1017.70,14.78,0.05
2025-04-29T14:31:32,1,3.98,0.00,0.00,0.00,999.00,13.71,1017.60,14.78,0.05
2025-04-29T14:31:32,1,3.99,0.00,0.00,0.00,999.00,13.70,1017.30,14.78,0.04
2025-04-29T14:31:33,1,3.97,0.00,0.00,0.00,999.00,13.70,1017.60,14.78,0.05
2025-04-29T14:31:33,1,3.97,0.00,0.00,0.00,999.00,13.71,1018.10,14.78,0.05
2025-04-29T14:31:33,1,3.99,0.00,0.00,0.00,999.00,13.70,1017.80,14.78,0.05
2025-04-29T14:31:33,1,3.99,0.00,0.00,0.00,999.00,13.69,1017.70,14.78,0.05
2025-04-29T14:31:33,1,3.99,0.00,0.00,0.00,999.00,13.70,1017.90,14.78,0.05
2025-04-29T14:31:34,1,3.98,0.00,0.00,0.00,999.00,13.69,1017.50,14.78,0.04
2025-04-29T14:31:34,1,4.00,0.00,0.00,0.00,999.00,13.70,1017.80,14.78,0.05
2025-04-29T14:31:34,1,3.99,0.00,0.00,0.00,999.00,13.68,1017.60,14.78,0.05
2025-04-29T14:31:34,1,3.97,0.00,0.00,0.00,999.00,13.69,1017.60,14.78,0.05
2025-04-29T14:31:34,1,3.98,0.00,0.00,0.00,999.00,13.68,1017.50,14.77,0.04
2025-04-29T14:31:35,1,3.99,0.00,0.00,0.00,999.00,13.68,1017.50,14.78,0.04
2025-04-29T14:31:35,1,3.97,0.00,0.00,0.00,999.00,13.66,1017.40,14.78,0.04
2025-04-29T14:31:35,1,3.97,0.00,0.00,0.00,999.00,13.67,1017.30,14.78,0.04
2025-04-29T14:31:35,1,3.99,0.00,0.00,0.00,999.00,13.67,1017.80,14.78,0.05
2025-04-29T14:31:35,1,3.99,0.00,0.00,0.00,999.00,13.67,1017.70,14.78,0.05
2025-04-29T14:31:36,1,4.00,0.00,0.00,0.00,999.00,13.66,1017.40,14.78,0.04
2025-04-29T14:31:36,1,3.99,0.00,0.00,0.00,999.00,13.65,1018.00,14.77,0.05
2025-04-29T14:31:36,1,3.97,0.00,0.00,0.00,999.00,13.66,1017.50,14.77,0.04
2025-04-29T14:31:36,1,3.99,0.00,0.00,0.00,999.00,13.65,1017.40,14.77,0.04
2025-04-29T14:31:36,1,3.99,0.00,0.00,0.00,999.00,13.66,1017.50,14.77,0.04
2025-04-29T14:31:37,1,3.98,0.00,0.00,0.00,999.00,13.65,1017.40,14.77,0.04
2025-04-29T14:31:37,1,3.99,0.00,0.00,0.00,999.00,13.65,1017.80,14.77,0.05
2025-04-29T14:31:37,1,3.97,0.00,0.00,0.00,999.00,13.64,1017.90,14.77,0.05
2025-04-29T14:31:37,1,3.99,0.00,0.00,0.00,999.00,13.64,1017.90,14.77,0.05
2025-04-29T14:31:37,1,3.99,0.00,0.00,0.00,999.00,13.65,1017.40,14.77,0.04
2025-04-29T14:31:38,1,3.99,0.00,0.00,0.00,999.00,13.63,1017.50,14.77,0.04
