time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-05-10T15:43:49,1,3.94,999.00,999.00,999.00,999.00,21.60,1018.30,22.10,0.05
2025-05-10T15:43:51,1,3.92,999.00,999.00,999.00,999.00,21.60,1018.70,22.13,0.06
2025-05-10T15:43:51,1,3.92,0.00,0.00,0.00,999.00,21.61,1018.20,22.14,0.05
2025-05-10T15:43:52,1,3.94,0.00,0.00,0.00,999.00,21.59,1018.40,22.14,0.05
2025-05-10T15:43:52,1,3.94,0.00,0.00,0.00,999.00,21.61,1018.50,22.14,0.05
2025-05-10T15:43:52,1,3.95,0.00,0.00,0.00,999.00,21.61,1018.60,22.15,0.06
2025-05-10T15:43:52,1,3.97,0.00,0.00,0.00,999.00,21.61,1018.60,22.15,0.06
2025-05-10T15:43:52,1,3.97,0.00,0.00,0.00,999.00,21.60,1018.30,22.14,0.05
2025-05-10T15:43:53,1,3.97,0.00,0.00,0.00,999.00,21.60,1018.20,22.15,0.05
2025-05-10T15:43:53,1,3.95,0.00,0.00,0.00,999.00,21.60,1018.60,22.15,0.06
2025-05-10T15:43:53,1,3.95,0.00,0.00,0.00,999.00,21.60,1018.70,22.15,0.06
2025-05-10T15:43:53,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.30,22.15,0.05
2025-05-10T15:43:53,1,3.97,0.00,0.00,0.00,999.00,21.60,1018.20,22.15,0.05
2025-05-10T15:43:54,1,3.97,0.00,0.00,0.00,999.00,21.60,1018.70,22.15,0.06
2025-05-10T15:43:54,1,3.96,0.00,0.00,0.00,999.00,21.60,1018.30,22.15,0.05
2025-05-10T15:43:54,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.50,22.15,0.05
2025-05-10T15:43:54,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.30,22.16,0.05
2025-05-10T15:43:54,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.00,22.15,0.05
2025-05-10T15:43:55,1,3.95,0.00,0.00,0.00,999.00,21.60,1018.60,22.15,0.06
2025-05-10T15:43:55,1,3.96,0.00,0.00,0.00,999.00,21.60,1018.60,22.15,0.06
2025-05-10T15:43:55,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.50,22.15,0.05
2025-05-10T15:43:55,1,3.97,0.00,0.00,0.00,999.00,21.60,1018.40,22.15,0.05
2025-05-10T15:43:55,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.40,22.15,0.05
2025-05-10T15:43:56,1,3.94,0.00,0.00,0.00,999.00,21.59,1018.10,22.15,0.05
2025-05-10T15:43:56,1,3.95,0.00,0.00,0.00,999.00,21.59,1017.90,22.15,0.05
2025-05-10T15:43:56,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.30,22.16,0.05
2025-05-10T15:43:56,1,3.95,0.00,0.00,0.00,999.00,21.60,1018.50,22.15,0.05
2025-05-10T15:43:56,1,3.97,0.00,0.00,0.00,999.00,21.58,1018.80,22.16,0.06
2025-05-10T15:43:57,1,3.99,0.00,0.00,0.00,999.00,21.59,1018.60,22.15,0.06
2025-05-10T15:43:57,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.20,22.15,0.05
2025-05-10T15:43:57,1,3.94,0.00,0.00,0.00,999.00,21.59,1018.60,22.15,0.06
2025-05-10T15:43:57,1,3.97,0.00,0.00,0.00,999.00,21.58,1018.50,22.15,0.05
2025-05-10T15:43:57,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.00,22.15,0.05
2025-05-10T15:43:58,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.50,22.15,0.05
2025-05-10T15:43:58,1,3.97,0.00,0.00,0.00,999.00,21.57,1018.00,22.15,0.05
2025-05-10T15:43:58,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.40,22.15,0.05
2025-05-10T15:43:58,1,3.97,0.00,0.00,0.00,999.00,21.58,1018.30,22.15,0.05
2025-05-10T15:43:58,1,3.96,0.00,0.00,0.00,999.00,21.59,1018.20,22.15,0.05
2025-05-10T15:43:59,1,3.95,0.00,0.00,0.00,999.00,21.58,1018.70,22.15,0.06
2025-05-10T15:43:59,1,3.95,0.00,0.00,0.00,999.00,21.60,1018.80,22.15,0.06
2025-05-10T15:43:59,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.30,22.16,0.05
2025-05-10T15:43:59,1,3.94,0.00,0.00,0.00,999.00,21.58,1019.00,22.15,0.06
2025-05-10T15:43:59,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.30,22.15,0.05
2025-05-10T15:44:00,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.20,22.16,0.05
2025-05-10T15:44:00,1,3.96,0.00,0.00,0.00,999.00,21.60,1018.40,22.15,0.05
2025-05-10T15:44:00,1,3.97,0.00,0.00,0.00,999.00,21.58,1018.40,22.15,0.05
2025-05-10T15:44:00,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.80,22.15,0.06
2025-05-10T15:44:00,1,3.94,0.00,0.00,0.00,999.00,21.59,1018.40,22.15,0.05
2025-05-10T15:44:01,1,3.97,0.00,0.00,0.00,999.00,21.58,1018.40,22.15,0.05
2025-05-10T15:44:01,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.20,22.15,0.05
2025-05-10T15:44:01,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.00,22.15,0.05
2025-05-10T15:44:01,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.30,22.15,0.05
2025-05-10T15:44:01,1,3.95,0.00,0.00,0.00,999.00,21.59,1018.60,22.15,0.06
2025-05-10T15:44:02,1,3.97,0.00,0.00,0.00,999.00,21.58,1017.90,22.15,0.05
2025-05-10T15:44:02,1,3.95,0.00,0.00,0.00,999.00,21.60,1018.50,22.15,0.05
2025-05-10T15:44:02,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.30,22.15,0.05
2025-05-10T15:44:02,1,3.97,0.00,0.00,0.00,999.00,21.57,1018.30,22.15,0.05
2025-05-10T15:44:02,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.10,22.15,0.05
2025-05-10T15:44:03,1,3.96,0.00,0.00,0.00,999.00,21.58,1018.20,22.15,0.05
2025-05-10T15:44:03,1,3.97,0.00,0.00,0.00,999.00,21.57,1018.30,22.15,0.05
2025-05-10T15:44:03,1,3.97,0.00,0.00,0.00,999.00,21.59,1018.40,22.15,0.05
2025-05-10T15:44:03,1,3.96,0.00,0.00,0.00,999.00,21.59,1018.20,22.15,0.05
2025-05-10T15:44:03,1,3.96,0.00,0.00,0.00,999.00,21.57,1018.50,22.15,0.05
2025-05-10T15:44:04,1,3.95,0.00,0.00,0.00,999.00,21.58,1018.60,22.15,0.06
2025-05-10T15:44:04,1,3.97,0.00,0.00,0.00,999.00,21.58,1018.60,22.15,0.06
2025-05-10T15:44:04,1,3.95,0.00,0.00,0.00,999.00,21.58,1018.80,22.15,0.06
2025-05-10T15:44:04,1,3.95,0.00,0.00,0.00,999.00,21.58,1018.30,22.15,0.05
2025-05-10T15:44:04,1,3.97,0.00,0.00,0.00,999.00,21.58,1018.40,22.15,0.05
2025-05-10T15:44:05,1,3.97,0.00,0.00,0.00,999.00,21.56,1017.90,22.15,0.05
2025-05-10T15:44:05,1,3.97,0.00,0.00,0.00,999.00,21.57,1018.80,22.15,0.06
2025-05-10T15:44:05,1,3.97,0.00,0.00,0.00,999.00,21.57,1018.80,22.15,0.06
2025-05-10T15:44:05,1,3.97,0.00,0.00,0.00,999.00,21.57,1018.20,22.15,0.05
2025-05-10T15:44:05,1,3.94,0.00,0.00,0.00,999.00,21.57,1018.00,22.15,0.05
2025-05-10T15:44:06,1,3.97,0.00,0.00,0.00,999.00,21.57,1018.90,22.15,0.06
2025-05-10T15:44:06,1,3.94,0.00,0.00,0.00,999.00,21.56,1018.20,22.15,0.05
2025-05-10T15:44:06,1,3.99,0.00,0.00,0.00,999.00,21.56,1018.20,22.15,0.05
2025-05-10T15:44:06,1,3.95,0.00,0.00,0.00,999.00,21.56,1018.30,22.15,0.05
2025-05-10T15:44:06,1,3.97,0.00,0.00,0.00,999.00,21.55,1018.40,22.15,0.05
2025-05-10T15:44:07,1,3.96,0.00,0.00,0.00,999.00,21.55,1018.30,22.15,0.05
2025-05-10T15:44:07,1,3.95,0.00,0.00,0.00,999.00,21.55,1018.10,22.15,0.05
2025-05-10T15:44:07,1,3.98,0.00,0.00,0.00,999.00,21.55,1018.50,22.15,0.05
2025-05-10T15:44:07,1,3.97,0.00,0.00,0.00,999.00,21.54,1018.60,22.15,0.06
2025-05-10T15:44:07,1,3.95,0.00,0.00,0.00,999.00,21.54,1018.90,22.15,0.06
2025-05-10T15:44:08,1,3.95,0.00,0.00,0.00,999.00,21.54,1018.60,22.15,0.06
2025-05-10T15:44:08,1,3.97,0.00,0.00,0.00,999.00,21.55,1018.40,22.15,0.05
2025-05-10T15:44:08,1,3.96,0.00,0.00,0.00,999.00,21.54,1018.10,22.15,0.05
2025-05-10T15:44:08,1,3.96,0.00,0.00,0.00,999.00,21.54,1018.40,22.15,0.05
2025-05-10T15:44:08,1,3.95,0.00,0.00,0.00,999.00,21.54,1018.40,22.15,0.05
2025-05-10T15:44:09,1,3.97,0.00,0.00,0.00,999.00,21.54,1018.10,22.15,0.05
2025-05-10T15:44:09,1,3.97,0.00,0.00,0.00,999.00,21.54,1018.20,22.15,0.05
2025-05-10T15:44:09,1,3.95,0.00,0.00,0.00,999.00,21.53,1018.20,22.15,0.05
2025-05-10T15:44:09,1,3.97,0.00,0.00,0.00,999.00,21.54,1017.90,22.15,0.05
2025-05-10T15:44:09,1,3.96,0.00,0.00,0.00,999.00,21.52,1018.30,22.15,0.05
2025-05-10T15:44:10,1,3.96,0.00,0.00,0.00,999.00,21.53,1018.00,22.15,0.05
2025-05-10T15:44:10,1,3.97,0.00,0.00,0.00,999.00,21.52,1018.10,22.15,0.05
