time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-06-29T22:08:59,1,3.87,7900.00,4.37,3792.00,999.00,11.05,1030.60,11.02,0.17
2025-06-29T22:09:00,1,3.86,7900.00,4.37,3792.00,999.00,11.04,1032.00,11.02,0.19
2025-06-29T22:09:00,1,3.88,7900.00,4.37,3792.00,999.00,11.04,1035.10,11.02,0.22
2025-06-29T22:09:00,1,3.89,7833.00,4.33,3760.00,999.00,11.05,1037.40,11.02,0.24
2025-06-29T22:09:00,1,3.88,7833.00,4.33,3760.00,999.00,11.05,1039.40,11.02,0.26
2025-06-29T22:09:00,1,3.89,7833.00,4.33,3760.00,999.00,11.04,1038.70,11.02,0.25
2025-06-29T22:09:01,1,3.86,7833.00,4.33,3760.00,999.00,11.05,1040.30,11.01,0.27
2025-06-29T22:09:01,1,3.86,7833.00,4.33,3760.00,999.00,11.06,1039.30,11.02,0.26
2025-06-29T22:09:01,1,3.89,7981.00,4.42,3831.00,999.00,11.04,1038.70,11.01,0.25
2025-06-29T22:09:01,1,3.86,7981.00,4.42,3831.00,999.00,11.04,1035.70,11.01,0.22
2025-06-29T22:09:01,1,3.87,7981.00,4.42,3831.00,999.00,11.06,1033.90,11.01,0.21
2025-06-29T22:09:02,1,3.88,7981.00,4.42,3831.00,999.00,11.04,1035.10,11.01,0.22
2025-06-29T22:09:02,1,3.87,7847.00,4.34,3767.00,999.00,11.04,1036.20,11.01,0.23
2025-06-29T22:09:02,1,3.89,7847.00,4.34,3767.00,999.00,11.04,1036.20,11.01,0.23
2025-06-29T22:09:02,1,3.87,7847.00,4.34,3767.00,999.00,11.04,1036.50,11.01,0.23
2025-06-29T22:09:02,1,3.89,7847.00,4.34,3767.00,999.00,11.04,1036.30,11.01,0.23
2025-06-29T22:09:02,1,3.88,7847.00,4.34,3767.00,999.00,11.05,1036.70,11.00,0.23
2025-06-29T22:09:03,1,3.89,7886.00,4.36,3786.00,999.00,11.05,1037.00,11.00,0.24
2025-06-29T22:09:03,1,3.87,7886.00,4.36,3786.00,999.00,11.05,1037.60,11.00,0.24
2025-06-29T22:09:03,1,3.89,7886.00,4.36,3786.00,999.00,11.05,1038.80,11.00,0.26
2025-06-29T22:09:03,1,3.88,7886.00,4.36,3786.00,999.00,11.05,1039.40,11.00,0.26
2025-06-29T22:09:03,1,3.88,7886.00,4.36,3786.00,999.00,11.05,1039.60,11.00,0.26
2025-06-29T22:09:04,1,3.86,7931.00,4.39,3807.00,999.00,11.06,1039.60,11.00,0.26
2025-06-29T22:09:04,1,3.90,7931.00,4.39,3807.00,999.00,11.05,1039.10,11.00,0.26
2025-06-29T22:09:04,1,3.87,7931.00,4.39,3807.00,999.00,11.05,1039.00,11.00,0.26
2025-06-29T22:09:04,1,3.88,7931.00,4.39,3807.00,999.00,11.05,1038.50,11.00,0.25
2025-06-29T22:09:04,1,3.87,7931.00,4.39,3807.00,999.00,11.06,1039.20,11.00,0.26
2025-06-29T22:09:05,1,3.89,7918.00,4.38,3801.00,999.00,11.05,1039.40,11.00,0.26
2025-06-29T22:09:05,1,3.88,7918.00,4.38,3801.00,999.00,11.05,1039.50,11.00,0.26
2025-06-29T22:09:05,1,3.88,7918.00,4.38,3801.00,999.00,11.05,1039.90,11.00,0.27
2025-06-29T22:09:05,1,3.86,7918.00,4.38,3801.00,999.00,11.05,1040.90,10.99,0.28
2025-06-29T22:09:05,1,3.88,7918.00,4.38,3801.00,999.00,11.05,1040.90,10.99,0.28
